cod_ine,anio,inmuebles_total,inmuebles_persona_fisica,inmuebles_sociedades,inmuebles_otras_entidades,fuente
06083,2025,29163,27016,724,1423,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
06153,2024,13719,13035,147,537,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
06153,2025,13733,13053,155,525,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07011,2024,34399,31178,1789,1432,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07011,2025,34499,31350,1781,1368,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07015,2024,17349,15603,1520,226,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07015,2025,17395,15646,1531,218,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07026,2024,24231,20771,2817,643,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07026,2025,24369,20877,2876,616,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07027,2024,12734,12017,465,252,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07027,2025,12748,12049,441,258,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07031,2024,18318,17517,621,180,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07031,2025,18479,17597,699,183,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07032,2024,14236,12865,1081,290,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07032,2025,14252,12933,1041,278,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07033,2024,27026,25614,1127,285,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07033,2025,27197,25775,1154,268,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07036,2024,13566,13204,312,50,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07036,2025,13645,13309,286,50,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07040,2024,177734,165347,9323,3064,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07040,2025,178675,166281,9244,3150,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07054,2024,17149,14532,2361,256,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
07054,2025,17237,14593,2395,249,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08015,2024,90116,83680,5221,1215,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08015,2025,90929,84406,5255,1268,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08019,2024,704375,629981,55025,19369,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08019,2025,706624,632848,54453,19323,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08056,2024,27436,25677,1599,160,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08056,2025,27527,25764,1605,158,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08073,2024,36253,34313,1509,431,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08073,2025,36391,34508,1449,434,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08077,2024,18637,17464,1065,108,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08077,2025,18815,17612,1092,111,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08089,2024,19909,18697,806,406,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08089,2025,19947,18742,802,403,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08096,2024,25780,23513,1903,364,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08096,2025,26050,23818,1842,390,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08101,2024,106574,98076,6758,1740,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08101,2025,107193,98909,6484,1800,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08102,2024,17193,15583,1405,205,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08102,2025,17252,15644,1395,213,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08113,2024,33613,29484,3448,681,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08113,2025,33740,29659,3365,716,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08114,2024,10768,9799,779,190,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08114,2025,10915,9898,808,209,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08121,2024,51687,47338,3657,692,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08121,2025,52265,47943,3608,714,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08124,2024,20838,19421,1110,307,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08124,2025,20907,19533,1051,323,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08125,2024,14769,13581,852,336,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08125,2025,14802,13639,812,351,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08163,2024,16130,14958,832,340,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08163,2025,16170,15032,801,337,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08169,2024,25968,24956,623,389,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08169,2025,26209,25216,604,389,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08172,2024,12168,11600,478,90,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08172,2025,12190,11614,486,90,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08180,2024,15126,14202,730,194,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08180,2025,15177,14277,702,198,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08184,2024,31818,29203,2228,387,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08184,2025,31949,29389,2111,449,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08187,2024,91776,83625,7086,1065,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08187,2025,92354,84339,6871,1144,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08194,2024,14943,13443,644,856,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08194,2025,15022,13461,702,859,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08196,2024,10176,9576,444,156,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08196,2025,10183,9648,378,157,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08200,2024,33635,31869,1465,301,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08200,2025,33800,32092,1414,294,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08205,2024,34545,30718,3653,174,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08205,2025,34704,30930,3603,171,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08211,2024,18560,17594,694,272,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08211,2025,18590,17647,619,324,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08217,2024,13806,12881,834,91,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08217,2025,14074,12963,1025,86,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08231,2024,14210,13008,859,343,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08231,2025,14346,13143,830,373,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08245,2024,46269,42749,2784,736,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08245,2025,46352,42934,2610,808,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08252,2024,13316,12514,617,185,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08252,2025,13349,12611,549,189,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08260,2024,9710,9085,437,188,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08260,2025,9765,9184,389,192,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08263,2024,10811,10422,321,68,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08263,2025,10849,10460,315,74,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
