cod_ine,anio,inmuebles_total,inmuebles_persona_fisica,inmuebles_sociedades,inmuebles_otras_entidades,fuente
21041,2024,69335,62674,2288,4373,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
21041,2025,69448,62914,2201,4333,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
21044,2024,20940,19200,1155,585,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
21044,2025,20988,19346,1081,561,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
22125,2024,29285,28002,900,383,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
22125,2025,29460,28206,884,370,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
23005,2024,17360,16391,344,625,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
23005,2025,17371,16431,324,616,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
23050,2024,58227,55892,1109,1226,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
23050,2025,58363,56011,1143,1209,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
23055,2024,28912,26922,791,1199,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
23055,2025,28974,27044,739,1191,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
23092,2024,17557,16789,339,429,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
23092,2025,17609,16852,336,421,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
24089,2024,75941,72592,2682,667,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
24089,2025,76178,72963,2567,648,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
24115,2024,40311,39035,926,350,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
24115,2025,40422,39163,912,347,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
24142,2024,16544,16179,276,89,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
24142,2025,16559,16216,263,80,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
25120,2024,65688,58785,5751,1152,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
25120,2025,65976,59144,5609,1223,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
26089,2024,79241,76195,2494,552,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
26089,2025,79590,76840,2233,517,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
27028,2024,59402,57175,1308,919,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
27028,2025,59509,57278,1343,888,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28005,2024,81451,76785,3016,1650,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28005,2025,82100,77598,2829,1673,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28006,2024,42224,38892,2752,580,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28006,2025,42594,39147,2879,568,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28007,2024,71079,68696,1408,975,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28007,2025,71153,68781,1406,966,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28013,2024,24853,22446,1779,628,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28013,2025,25061,22668,1772,621,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28014,2024,22351,20446,1608,297,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28014,2025,22510,20752,1419,339,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28022,2024,21274,19529,1698,47,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28022,2025,21560,19890,1624,46,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28045,2024,21279,20072,952,255,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28045,2025,21950,20685,1010,255,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28047,2024,27954,26040,1540,374,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28047,2025,28215,26213,1633,369,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28049,2024,31368,30525,636,207,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28049,2025,31470,30641,624,205,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28058,2024,71316,68829,1574,913,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28058,2025,71505,69038,1561,906,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28061,2024,14719,13893,658,168,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28061,2025,14783,13999,615,169,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28065,2024,80090,76068,3417,605,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28065,2025,80649,76682,3368,599,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28074,2024,77783,74761,1804,1218,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28074,2025,78044,75045,1701,1298,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28079,2024,1521253,1394632,100926,25695,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28079,2025,1527232,1399969,101274,25989,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28080,2024,26013,23639,2067,307,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28080,2025,26132,23752,2077,303,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28092,2024,82955,78734,3195,1026,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28092,2025,83193,78995,3183,1015,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28096,2024,11878,10799,788,291,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28096,2025,12207,10971,947,289,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28106,2024,47035,42389,3556,1090,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28106,2025,47174,42616,3486,1072,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28113,2024,21273,19580,1460,233,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28113,2025,21390,19679,1484,227,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28115,2024,31164,28398,2405,361,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28115,2025,31237,28588,2364,285,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28123,2024,35496,33494,1595,407,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28123,2025,35879,33707,1768,404,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28127,2024,35745,33193,2316,236,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28127,2025,35948,33461,2264,223,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28130,2024,15213,14489,554,170,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28130,2025,15230,14516,544,170,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28134,2024,35310,33423,1640,247,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28134,2025,35432,33543,1538,351,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28148,2024,52724,48689,3019,1016,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28148,2025,53041,49354,2710,977,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28161,2024,30343,27864,1859,620,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28161,2025,31278,28364,2179,735,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28181,2024,11124,10400,684,40,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28181,2025,11455,10654,760,41,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28903,2024,19757,18348,1176,233,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
28903,2025,20094,18729,1133,232,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29007,2024,15226,14519,542,165,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29007,2025,15466,14707,591,168,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29015,2024,17623,16575,596,452,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29015,2025,17645,16611,588,446,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29025,2024,49740,43978,3570,2192,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29025,2025,49957,44427,3427,2103,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29051,2024,49980,44052,3996,1932,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29051,2025,51142,45217,4079,1846,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29054,2024,50485,45215,4033,1237,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29054,2025,51018,45716,4119,1183,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29067,2024,257000,237865,11298,7837,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29067,2025,258554,239757,11234,7563,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29069,2024,99078,84427,10786,3865,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29069,2025,99632,85089,10771,3772,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29070,2024,63488,56139,3901,3448,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29070,2025,63856,57155,3748,2953,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29082,2024,27006,25665,1016,325,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29082,2025,27286,26014,962,310,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29084,2024,16437,15512,443,482,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29084,2025,16481,15545,471,465,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29094,2024,46841,44682,1198,961,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29094,2025,47222,45178,1112,932,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29901,2024,44454,41090,2274,1090,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
29901,2025,45114,41638,2469,1007,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30003,2024,24713,22711,1597,405,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30003,2025,24801,22927,1491,383,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30005,2024,17462,16289,953,220,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30005,2025,17467,16352,897,218,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30015,2024,12711,12156,340,215,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30015,2025,12735,12198,321,216,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30016,2024,125154,116319,7149,1686,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30016,2025,125555,116994,6906,1655,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30019,2024,16652,16144,292,216,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30019,2025,16721,16215,288,218,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30022,2024,13631,12887,434,310,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30022,2025,13673,12957,414,302,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30024,2024,41889,39034,2165,690,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30024,2025,42002,39252,2114,636,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30026,2024,29823,28410,982,431,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30026,2025,29882,28556,967,359,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30027,2024,30299,28648,1455,196,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30027,2025,30452,28926,1347,179,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30030,2024,206984,192139,12033,2812,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30030,2025,208010,193762,11486,2762,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30035,2024,42376,39497,2119,760,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30035,2025,42531,39807,1982,742,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30037,2024,21961,20475,1233,253,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30037,2025,22191,20837,1082,272,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30039,2024,15074,14267,597,210,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30039,2025,15109,14327,580,202,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30043,2024,19049,18339,550,160,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
30043,2025,19075,18421,501,153,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
32054,2024,66714,63564,2145,1005,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
32054,2025,66830,63810,2035,985,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
33004,2024,40521,38994,719,808,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
33004,2025,40636,39144,694,798,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
33024,2024,146821,141659,2966,2196,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
33024,2025,147478,142310,2977,2191,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
33031,2024,23992,22426,554,1012,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
33031,2025,23993,22494,494,1005,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
33037,2024,23726,21991,415,1320,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
33037,2025,23698,22007,382,1309,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
33044,2024,123306,117196,3649,2461,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
33044,2025,123962,117817,3718,2427,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
33066,2024,29502,28009,826,667,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
33066,2025,29673,28223,789,661,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
34120,2024,43450,41894,987,569,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
34120,2025,43582,42054,957,571,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35002,2024,13492,12637,591,264,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35002,2025,13569,12689,618,262,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35004,2024,23893,20755,2291,847,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35004,2025,24084,20867,2387,830,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35006,2024,16561,15365,501,695,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35006,2025,16591,15443,459,689,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35011,2024,12337,11541,498,298,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35011,2025,12500,11647,548,305,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35014,2024,15634,12429,2872,333,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35014,2025,15693,12538,2837,318,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35016,2024,165748,148870,10652,6226,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35016,2025,167074,150286,10712,6076,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35017,2024,17809,15568,1853,388,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35017,2025,17968,15735,1849,384,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35019,2024,16982,15030,1214,738,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35019,2025,17143,15090,1314,739,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35022,2024,29045,26482,2179,384,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35022,2025,29150,26632,2133,385,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35026,2024,43303,38696,2777,1830,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
35026,2025,43531,39072,2682,1777,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
36008,2024,15325,14525,368,432,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
36008,2025,15415,14671,345,399,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
36026,2024,11781,11454,175,152,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
36026,2025,11806,11501,170,135,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
36038,2024,41511,39993,881,637,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
36038,2025,41848,40356,881,611,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
36045,2024,12812,12456,131,225,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
36045,2025,12888,12533,147,208,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
36057,2024,138085,132153,4255,1677,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
36057,2025,138585,132767,4191,1627,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
36060,2024,20112,19302,546,264,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
36060,2025,20156,19384,529,243,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
37274,2024,91829,88736,2213,880,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
37274,2025,92019,88906,2201,912,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38001,2024,23346,19863,2490,993,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38001,2025,23585,20046,2562,977,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38006,2024,51476,42539,7525,1412,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38006,2025,51852,42994,7521,1337,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38011,2024,13584,12649,662,273,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38011,2025,13634,12704,659,271,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38017,2024,22679,19669,2468,542,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38017,2025,22802,19920,2355,527,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38023,2024,71363,65480,4148,1735,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38023,2025,71641,65891,4060,1690,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38026,2024,17335,15681,816,838,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38026,2025,17441,15816,802,823,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38028,2024,19665,17196,1742,727,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38028,2025,19708,17279,1721,708,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38031,2024,15934,14511,740,683,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38031,2025,15980,14571,740,669,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38038,2024,93341,82493,6176,4672,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
38038,2025,93684,82813,6256,4615,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
39016,2024,13646,13164,360,122,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
39016,2025,13655,13226,318,111,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
39020,2024,24467,23523,614,330,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
39020,2025,24476,23630,542,304,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
39075,2024,93463,89089,3431,943,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
39075,2025,93756,89461,3380,915,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
39087,2024,25819,24771,874,174,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
39087,2025,25828,24802,870,156,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
40194,2024,27941,26371,1119,451,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
40194,2025,27927,26349,1120,458,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41004,2024,31209,29408,1127,674,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41004,2025,31294,29552,1073,669,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41021,2024,13718,12727,705,286,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41021,2025,13851,12863,707,281,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41024,2024,14795,13688,549,558,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41024,2025,14881,13758,574,549,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41034,2024,13222,12091,759,372,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41034,2025,13246,12151,725,370,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41038,2024,56798,53986,1880,932,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41038,2025,58658,55390,2247,1021,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41039,2024,18163,16924,591,648,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41039,2025,18217,17028,543,646,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41053,2024,12619,11251,1000,368,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41053,2025,12681,11293,1025,363,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41059,2024,19321,18566,556,199,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41059,2025,19475,18723,557,195,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41065,2024,12814,12100,285,429,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41065,2025,12857,12144,286,427,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41069,2024,14945,14024,433,488,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41069,2025,14988,14121,394,473,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41081,2024,15925,13860,981,1084,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41081,2025,16317,14177,1050,1090,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41091,2024,323446,299995,15953,7498,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41091,2025,325898,301626,16764,7508,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41095,2024,22633,20798,1109,726,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
41095,2025,22700,20931,1063,706,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
42173,2024,25646,24686,583,377,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
42173,2025,25690,24781,536,373,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
43038,2024,31858,28450,2359,1049,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
43038,2025,31971,28647,2322,1002,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
43123,2024,47534,43080,3528,926,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
43123,2025,47660,43381,3349,930,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
43148,2024,64592,58547,4627,1418,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
43148,2025,64791,58890,4480,1421,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
43155,2024,18811,17230,1132,449,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
43155,2025,18818,17328,1022,468,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
43163,2024,30431,28215,1731,485,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
43163,2025,30532,28392,1624,516,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
43905,2024,32353,28401,3446,506,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
43905,2025,32360,28543,3266,551,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
44216,2024,21174,20141,670,363,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
44216,2025,21251,20209,690,352,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
45081,2024,12693,11738,883,72,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
45081,2025,13080,12161,848,71,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
45165,2024,40963,38701,1750,512,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
45165,2025,41049,38883,1673,493,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
45168,2024,39519,36731,2269,519,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
45168,2025,39681,36909,2262,510,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46005,2024,12959,12534,319,106,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46005,2025,12985,12573,307,105,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46017,2024,24186,22923,943,320,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46017,2025,24201,23013,886,302,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46021,2024,14038,13308,432,298,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46021,2025,14102,13372,436,294,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46029,2024,13285,12527,358,400,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46029,2025,13205,12581,327,297,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46078,2024,17741,16715,708,318,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46078,2025,17774,16800,669,305,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46094,2024,12384,11989,314,81,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46094,2025,12466,12057,333,76,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46102,2024,11798,11483,194,121,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46102,2025,11970,11606,242,122,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
