cod_ine,fecha,viviendas_turisticas,plazas,plazas_por_vivienda,poblacion,anio_poblacion,poblacion_desfasada,superficie_km2,vut_por_1000_hab,plazas_por_1000_hab,vut_por_km2,estacionalidad_vut,snapshots
08096,2020-08-01,23,68,2.96,62419,2020,False,14.922197585511627,0.36847754690078344,1.0894118777936206,1.541327935660853,,1
08101,2020-08-01,921,3104,3.37,269382,2020,False,13.60341448463999,3.4189366772835603,11.522670408564789,67.70359023022696,,1
08102,2020-08-01,18,62,3.44,40742,2020,False,8.203748650227167,0.44180452604192233,1.5217711452555103,2.194118904350095,,1
08113,2020-08-01,74,249,3.36,78245,2020,False,41.732450036691496,0.9457473320978976,3.182311968815899,1.7732004695372217,,1
08114,2020-08-01,6,12,2.0,28772,2020,False,12.781985563588549,0.20853607674127625,0.4170721534825525,0.4694106381321477,,1
08121,2020-08-01,157,676,4.31,129661,2020,False,22.43994471600438,1.210849831483638,5.213595452757575,6.996452174324036,,1
08124,2020-08-01,3,15,5.0,51600,2020,False,10.779396047755878,0.05813953488372093,0.29069767441860467,0.27830872775331034,,1
08125,2020-08-01,12,39,3.25,36803,2020,False,23.463874026556113,0.3260603755128658,1.0596962204168139,0.5114244982059891,,1
08163,2020-08-01,312,1677,5.38,27984,2020,False,10.298642556754144,11.149228130360205,59.9271012006861,30.295254765918784,,1
08169,2020-08-01,90,258,2.87,65385,2020,False,33.6761767307047,1.3764624913971095,3.945859142005047,2.6725124030466714,,1
08172,2020-08-01,69,302,4.38,28531,2020,False,1.9802614385373083,2.4184220672251238,10.584977743507062,34.84388407369376,,1
08180,2020-08-01,13,29,2.23,39179,2020,False,4.398413636073775,0.3318104086372802,0.7401924500370096,2.9556110624475953,,1
08184,2020-08-01,41,145,3.54,78591,2020,False,32.27496461115019,0.5216882340217073,1.8449949739792089,1.2703344680302309,,1
08187,2020-08-01,105,327,3.11,216520,2020,False,37.6330594527353,0.4849436541658969,1.5102530944023647,2.790100021813885,,1
08194,2020-08-01,158,822,5.2,37447,2020,False,3.9019804327900434,4.219296605869629,21.951024114081235,40.49225841120501,,1
08196,2020-08-01,8,14,1.75,27569,2020,False,5.640248138543259,0.29018100039899886,0.507816750698248,1.4183773131063357,,1
08200,2020-08-01,23,80,3.48,84500,2020,False,22.08113320465157,0.27218934911242604,0.9467455621301775,1.041613208291088,,1
08205,2020-08-01,153,599,3.92,92977,2020,False,48.2974983801746,1.6455682588166967,6.4424535100078515,3.1678659378102325,,1
08211,2020-08-01,11,34,3.09,45467,2020,False,11.97594459513997,0.24193371016341522,0.7477951041414652,0.9185079233302379,,1
08217,2020-08-01,26,71,2.73,34267,2020,False,5.614947366722533,0.7587474830011381,2.0719642805031078,4.630497545549799,,1
08231,2020-08-01,198,1399,7.07,31111,2020,False,40.88016346052905,6.364308443958729,44.96801774292051,4.843424860352493,,1
08245,2020-08-01,59,136,2.31,120443,2020,False,7.094203259930178,0.4898582732080735,1.1291648331575932,8.31664921884134,,1
08252,2020-08-01,12,57,4.75,33334,2020,False,8.21382894791097,0.3599928001439971,1.7099658006839864,1.4609508033463454,,1
08260,2020-08-01,6,19,3.17,25999,2020,False,15.677468543013733,0.23077810685026348,0.7307973383591677,0.38271484860824345,,1
08263,2020-08-01,11,32,2.91,28268,2020,False,9.276650578353433,0.3891325880854677,1.1320220744304514,1.1857728074471092,,1
08266,2020-08-01,43,175,4.07,57855,2020,False,30.84995298568694,0.7432374038544638,3.0248033877797944,1.3938432911048573,,1
08270,2020-08-01,1374,6906,5.03,29553,2020,False,43.970821504433346,46.492741853618924,233.68185970967414,31.247994760831723,,1
08279,2020-08-01,98,333,3.4,223627,2020,False,70.126038619974,0.4382297307570195,1.4890867381845663,1.3974837582239625,,1
08298,2020-08-01,36,130,3.61,47630,2020,False,30.87341594863991,0.7558261599832039,2.7293722443837916,1.1660517274761084,,1
08301,2020-08-01,33,131,3.97,67197,2020,False,20.362954817858597,0.49109335238180274,1.9494917927883686,1.620589953431441,,1
08305,2020-08-01,18,58,3.22,40154,2020,False,19.98442187250457,0.4482741445435075,1.4444389101957464,0.9007015621885553,,1
08307,2020-08-01,237,1206,5.09,67733,2020,False,33.96544825756998,3.4990329676819276,17.80520573428019,6.977679146253549,,1
09018,2020-08-01,46,189,4.11,33187,2020,False,127.27416436833062,1.3860849127670474,5.695001054629825,0.3614244904164234,,1
09059,2020-08-01,219,974,4.45,176418,2020,False,107.06286962262743,1.241369928238615,5.520978584951649,2.045527088634237,,1
09219,2020-08-01,2,9,4.5,35760,2020,False,101.19737477832092,0.05592841163310962,0.2516778523489933,0.019763358529617227,,1
10037,2020-08-01,237,949,4.0,96255,2020,False,1750.228935865393,2.462209755337385,9.859228092047166,0.13541085691330798,,1
10148,2020-08-01,54,227,4.2,39860,2020,False,217.93384241353652,1.3547415955845459,5.69493226292022,0.24778161758619044,,1
11004,2020-08-01,90,351,3.9,123078,2020,False,87.96390468397297,0.7312436016184858,2.851850046312095,1.023146941047491,,1
11006,2020-08-01,168,866,5.15,30818,2020,False,526.3696011079824,5.4513595950418585,28.10046076968006,0.31916736765643033,,1
11012,2020-08-01,1517,6455,4.26,115439,2020,False,17.488578716004294,13.14113947626019,55.91697779779797,86.74232621383636,,1
11015,2020-08-01,1306,7684,5.88,85150,2020,False,207.05145262626544,15.337639459776865,90.24075161479742,6.307610902674381,,1
11020,2020-08-01,677,3024,4.47,213105,2020,False,1188.6216034863892,3.1768377091105324,14.190187935524742,0.5695673021710751,,1
11022,2020-08-01,46,183,3.98,63630,2020,False,26.666467616450802,0.7229294358007229,2.876001885902876,1.7250128761569512,,1
11027,2020-08-01,816,4507,5.52,88703,2020,False,162.07291494092465,9.19923790627149,50.81000642593824,5.034770925773938,,1
11028,2020-08-01,64,273,4.27,41700,2020,False,195.64519045109358,1.5347721822541966,6.546762589928058,0.32712278718652377,,1
11030,2020-08-01,382,1971,5.16,29282,2020,False,87.79481707648736,13.04555699747285,67.31097602622772,4.351054113675063,,1
11031,2020-08-01,72,301,4.18,95001,2020,False,30.90323462570632,0.7578867590867464,3.168387701182093,2.3298531973124925,,1
11032,2020-08-01,445,2361,5.31,69205,2020,False,173.46179142890168,6.430171230402427,34.116032078607034,2.565406458300046,,1
11033,2020-08-01,430,2928,6.81,31571,2020,False,139.73937963578408,13.62009439042159,92.74334040733585,3.07715692685018,,1
12009,2020-08-01,14,57,4.07,26742,2020,False,33.17330832911624,0.5235210530252038,2.131478573031187,0.42202604157247076,,1
12027,2020-08-01,176,923,5.24,27363,2020,False,47.832778035888566,6.432043270109272,33.73168146767533,3.6794852238761577,,1
12032,2020-08-01,71,376,5.3,35052,2020,False,46.84923817569949,2.025562022138537,10.726920004564647,1.515499563380892,,1
12040,2020-08-01,360,1400,3.89,174264,2020,False,111.32537370308081,2.065831152733783,8.033787816186935,3.233764127845343,,1
12084,2020-08-01,5,25,5.0,24980,2020,False,108.23446321307046,0.200160128102482,1.00080064051241,0.04619600681307021,,1
12126,2020-08-01,14,71,5.07,31681,2020,False,67.07880632892814,0.4419052428900603,2.2410908746567344,0.20870973659473746,,1
12135,2020-08-01,19,81,4.26,51293,2020,False,55.09826492854854,0.3704209151346188,1.5791628487317957,0.34483844499711946,,1
12138,2020-08-01,376,2040,5.43,28833,2020,False,95.54182562686435,13.04061318627961,70.75226303194256,3.9354491871283304,,1
13005,2020-08-01,12,68,5.67,30766,2020,False,666.5030905200434,0.3900409543002015,2.2102320743678088,0.018004417639889594,,1
13034,2020-08-01,62,224,3.61,75504,2020,False,285.1475030221933,0.8211485484212757,2.966730239457512,0.21743132709520688,,1
13071,2020-08-01,7,25,3.57,46607,2020,False,225.13388764843663,0.1501920312399425,0.5364001115712232,0.031092609260721438,,1
13082,2020-08-01,14,101,7.21,36168,2020,False,242.15413587567798,0.38708250387082505,2.7925237779252376,0.05781441621623842,,1
13087,2020-08-01,14,67,4.79,30252,2020,False,489.25979035334126,0.46277932037551234,2.2147296046542375,0.02861465478266518,,1
14021,2020-08-01,1364,6375,4.67,326039,2020,False,1254.611663374517,4.183548593879873,19.552875576234744,1.0871890002451134,,1
14038,2020-08-01,20,116,5.8,42733,2020,False,351.7573214126619,0.4680223714693562,2.714529754522266,0.05685738087747469,,1
14056,2020-08-01,9,90,10.0,29943,2020,False,170.85698462170214,0.30057108506161706,3.005710850616171,0.05267563406861639,,1
15002,2020-08-01,82,408,4.98,32104,2020,False,80.09905886846742,2.5541988537253926,12.70869673560927,1.0237323778629428,,1
15005,2020-08-01,35,174,4.97,32738,2020,False,96.40329988428762,1.0690940191826013,5.314924552507789,0.36305811151703643,,1
15019,2020-08-01,66,425,6.44,31429,2020,False,187.55461350467328,2.099971364026854,13.522542874415349,0.351897502101997,,1
15030,2020-08-01,556,2393,4.3,247604,2020,False,38.70969291705578,2.2455210739729567,9.664625773412384,14.363327582870651,,1
15031,2020-08-01,29,117,4.03,30685,2020,False,61.35075702660073,0.9450871761446961,3.812937917549291,0.47269180374459036,,1
15036,2020-08-01,134,621,4.63,65560,2020,False,83.33747474600344,2.043929225137279,9.472239170225748,1.607920091272338,,1
15054,2020-08-01,21,104,4.95,39056,2020,False,67.10556328643516,0.5376894715280622,2.662843097091356,0.312939776846266,,1
15058,2020-08-01,157,791,5.04,36534,2020,False,44.030416985155505,4.297366836371599,21.651064761591943,3.5657168555303773,,1
15073,2020-08-01,184,977,5.31,26848,2020,False,67.98010771487695,6.853396901072705,36.39004767580453,2.7066741460860166,,1
15078,2020-08-01,759,3425,4.51,97848,2020,False,220.00434918819695,7.7569291145450086,35.00327037854632,3.4499317981697413,,1
16078,2020-08-01,255,1293,5.07,54621,2020,False,893.3720796929089,4.6685340802987865,23.67221398363267,0.28543538106502575,,1
17023,2020-08-01,619,3480,5.62,39914,2020,False,17.775401457161315,15.508342937315227,87.1874530240016,34.82340477607715,,1
17066,2020-08-01,126,579,4.6,47235,2020,False,18.990923987219094,2.667513496348047,12.257859637980312,6.634748266319116,,1
17079,2020-08-01,473,2010,4.25,103369,2020,False,38.87267925227533,4.575839952016562,19.444901276011183,12.16792896960695,,1
17095,2020-08-01,2015,13013,6.46,39089,2020,False,48.38158377153675,51.54902913863235,332.90695592110313,41.64807852332936,,1
17114,2020-08-01,86,402,4.67,35926,2020,False,29.0529318160317,2.3938094973000057,11.189667650169794,2.9601143369821403,,1
17155,2020-08-01,13,35,2.69,32138,2020,False,6.61439031605192,0.4045055697305371,1.0890534569668306,1.9654116825327603,,1
18017,2020-08-01,1062,5710,5.38,25927,2020,False,83.36430861445612,40.96116018050681,220.23373317391136,12.73926477230856,,1
18087,2020-08-01,2463,11147,4.53,233648,2020,False,88.06810222631897,10.541498322262548,47.70851879750736,27.96699301718276,,1
18140,2020-08-01,150,784,5.23,58460,2020,False,103.1693208694252,2.565856996236743,13.410879233664044,1.4539205912758248,,1
19046,2020-08-01,8,12,1.5,35407,2020,False,19.747927024481978,0.2259440223684582,0.33891603355268735,0.40510581136350204,,1
19130,2020-08-01,35,189,5.4,87484,2020,False,235.48643023206682,0.40007315623428286,2.1603950436651274,0.14862852167536045,,1
20030,2020-08-01,6,24,4.0,27769,2020,False,24.774470422362302,0.21606827757571392,0.8642731103028557,0.24218479336632723,,1
20045,2020-08-01,44,178,4.05,62910,2020,False,41.77424473237312,0.6994118582101415,2.829438880941027,1.053280562745926,,1
20067,2020-08-01,18,63,3.5,39540,2020,False,32.2568931978472,0.4552352048558422,1.5933232169954477,0.5580202621993772,,1
20069,2020-08-01,1409,5925,4.21,188240,2020,False,61.10925737090948,7.485125371865704,31.47577560560986,23.05706304771332,,1
21041,2020-08-01,93,342,3.68,143837,2020,False,153.19323611268925,0.6465652092298921,2.3776914145873453,0.6070764112038799,,1
21044,2020-08-01,182,1029,5.65,27880,2020,False,129.35289572736946,6.527977044476327,36.90817790530846,1.4070036776261443,,1
22125,2020-08-01,42,181,4.31,53956,2020,False,161.0424945687488,0.7784120394395433,3.354585217584699,0.26080072910240637,,1
23005,2020-08-01,18,79,4.39,36615,2020,False,963.5995933157217,0.4916018025399426,2.157585688925304,0.018679958070615676,,1
23050,2020-08-01,76,323,4.25,112757,2020,False,424.2280625332185,0.6740158038968755,2.8645671665617214,0.17914892179969574,,1
23055,2020-08-01,14,65,4.64,57353,2020,False,196.70338680611667,0.2441023137412167,1.133332170941363,0.07117315175563951,,1
23092,2020-08-01,67,332,4.96,34329,2020,False,402.60731857463594,1.9517026420810393,9.671123539864254,0.1664152560296279,,1
24089,2020-08-01,405,1946,4.8,124028,2020,False,39.03524491986004,3.2653916857483796,15.690005482632953,10.375239116123678,,1
24115,2020-08-01,106,436,4.11,64509,2020,False,283.1683948160912,1.6431815715636577,6.758746841525989,0.3743355612438443,,1
24142,2020-08-01,20,116,5.8,30549,2020,False,64.84406092208579,0.654685914432551,3.7971783037087956,0.308432256024669,,1
25120,2020-08-01,82,350,4.27,140403,2020,False,212.190352396677,0.5840331047057399,2.4928242274025485,0.3864454678255398,,1
26089,2020-08-01,462,2407,5.21,152485,2020,False,78.97390226635804,3.029806210446929,15.785159195986491,5.85003383069253,,1
27028,2020-08-01,168,815,4.85,98519,2020,False,329.7855277491854,1.7052548239425898,8.272515961388159,0.5094219905482646,,1
28005,2020-08-01,195,712,3.65,197562,2020,False,88.19635022905486,0.9870319190937529,3.6039319302294976,2.2109758452993264,,1
28006,2020-08-01,83,245,2.95,118417,2020,False,45.25323055056583,0.700912875685079,2.0689596932872814,1.8341231993869704,,1
28007,2020-08-01,47,115,2.45,172384,2020,False,33.595845866695306,0.2726471134211992,0.6671152775199555,1.3989824868970686,,1
28013,2020-08-01,53,197,3.72,60332,2020,False,189.09419769339877,0.8784724524298879,3.2652655307299607,0.28028358694503835,,1
28014,2020-08-01,14,38,2.71,56678,2020,False,80.32307000521348,0.24700942164508274,0.6704541444652246,0.17429612686730364,,1
28022,2020-08-01,26,134,5.15,56734,2020,False,47.49456366812319,0.4582789861458737,2.361899390136426,0.5474310740420667,,1
28045,2020-08-01,19,81,4.26,51938,2020,False,182.97168677167875,0.3658207863221533,1.5595517732681274,0.10384120262119655,,1
28047,2020-08-01,24,108,4.5,64378,2020,False,25.220689346236565,0.3727981608624064,1.6775917238808289,0.9515996835186142,,1
28049,2020-08-01,60,167,2.78,81391,2020,False,12.030469495091412,0.7371822437370226,2.051823911734713,4.9873365311703575,,1
28058,2020-08-01,23,44,1.91,194514,2020,False,39.28092598236769,0.11824341692628808,0.22620479759811632,0.5855259117446512,,1
28061,2020-08-01,31,108,3.48,34497,2020,False,65.22276895795103,0.8986288662782271,3.1307070180015653,0.47529414183543217,,1
28065,2020-08-01,100,213,2.13,185180,2020,False,78.64040066379873,0.5400151204233719,1.150232206501782,1.2716110187118355,,1
28074,2020-08-01,66,148,2.24,191114,2020,False,43.26327324941759,0.3453436168988143,0.7744068985003715,1.5255433776243108,,1
28079,2020-08-01,16894,58461,3.46,3334730,2020,False,604.4454014081829,5.066077313605599,17.530954530051908,27.949588102816016,,1
28080,2020-08-01,38,115,3.03,72155,2020,False,38.49284556215564,0.5266440302127364,1.5937911440648604,0.9871964372870324,,1
28092,2020-08-01,62,154,2.48,210309,2020,False,44.89355341027856,0.2948043117508048,0.7322558711229666,1.381044610868447,,1
28096,2020-08-01,9,47,5.22,29985,2020,False,100.9054350000232,0.3001500750375188,1.567450391862598,0.0891924206064612,,1
28106,2020-08-01,32,63,1.97,133482,2020,False,24.9911039794954,0.2397326980416835,0.4719737492695644,1.280455638384572,,1
28113,2020-08-01,26,70,2.69,53325,2020,False,62.02407616092121,0.4875761837787154,1.3127051101734646,0.41919205588073744,,1
28115,2020-08-01,81,274,3.38,87165,2020,False,43.093536003776826,0.9292720702116676,3.14346354614811,1.8796322490895376,,1
28123,2020-08-01,70,221,3.16,90973,2020,False,67.93427787116386,0.7694590702735976,2.4292922075780727,1.0304076556573363,,1
28127,2020-08-01,66,243,3.68,96113,2020,False,58.34336323530397,0.6866917066369794,2.528274010799788,1.1312340657122582,,1
28130,2020-08-01,16,46,2.88,39566,2020,False,38.8709361947423,0.40438760551989084,1.1626143658696861,0.41161859132593176,,1
28134,2020-08-01,72,206,2.86,91224,2020,False,59.252547461907966,0.7892659826361483,2.2581776725423133,1.2151376284080793,,1
28148,2020-08-01,59,130,2.2,132853,2020,False,32.3943968054885,0.4440998697808856,0.9785251368053413,1.8213026269408352,,1
28161,2020-08-01,22,42,1.91,77270,2020,False,64.19381996872015,0.2847159311505112,0.5435485958327941,0.3427121179378324,,1
28181,2020-08-01,50,244,4.88,28148,2020,False,68.23062282097348,1.7763251385533607,8.668466676140401,0.7328087877959463,,1
28903,2020-08-01,25,47,1.88,48326,2020,False,37.98678411025635,0.517319869221537,0.9725613541364897,0.6581236234011726,,1
29007,2020-08-01,213,1502,7.05,41170,2020,False,82.70005701977874,5.17367014816614,36.482875880495506,2.5755725893763097,,1
29015,2020-08-01,132,703,5.33,41318,2020,False,748.034460186509,3.194733530180551,17.01437630088581,0.17646245865075275,,1
29025,2020-08-01,3064,14651,4.78,69144,2020,False,26.91002519817204,44.31331713525396,211.89112576651627,113.86091159097589,,1
29051,2020-08-01,2561,13534,5.28,70228,2020,False,137.37416612534705,36.46693626473771,192.71515634789543,18.642515345011926,,1
29054,2020-08-01,1865,8988,4.82,82837,2020,False,10.308720975216463,22.51409394352765,108.50223933749412,180.91478123073736,,1
29067,2020-08-01,5899,26223,4.45,578460,2020,False,395.5466575216349,10.197766483421498,45.33243439477233,14.913537727663257,,1
29069,2020-08-01,6266,37220,5.94,147633,2020,False,117.15389747722887,42.44308521807455,252.1116552532293,53.48520309550878,,1
29070,2020-08-01,3516,19160,5.45,85397,2020,False,148.72761310407674,41.17240652481937,224.3638535311545,23.640532693411615,,1
29082,2020-08-01,516,2724,5.28,48768,2020,False,28.159487379609846,10.580708661417322,55.85629921259842,18.32419720728415,,1
29084,2020-08-01,448,2136,4.77,33730,2020,False,398.047629444676,13.281944856211089,63.32641565372072,1.1254934506833103,,1
29094,2020-08-01,751,3988,5.31,82365,2020,False,157.92016737298204,9.117950585807078,48.41862441571055,4.755567401510276,,1
29901,2020-08-01,2048,8697,4.25,69166,2020,False,19.912411469175286,29.609923951074226,125.74097099731081,102.85042588489772,,1
30003,2020-08-01,316,1676,5.3,35722,2020,False,251.86776966007102,8.84608924472314,46.91786574099994,1.2546265861109738,,1
30005,2020-08-01,11,67,6.09,42345,2020,False,16.24432776408863,0.2597709292714606,1.5822411146534419,0.6771594466542176,,1
30015,2020-08-01,46,255,5.54,25688,2020,False,860.2010195149743,1.7907194020554345,9.926814076611647,0.05347587244890406,,1
30016,2020-08-01,1462,7868,5.38,216108,2020,False,560.1863921128324,6.765135950543247,36.40772206489348,2.6098456167166675,,1
30019,2020-08-01,3,16,5.33,35283,2020,False,366.25398259891216,0.08502678343678259,0.45347617832950715,0.008191037210605094,,1
30022,2020-08-01,28,185,6.61,25994,2020,False,969.6648582397082,1.0771716549973072,7.117027006232208,0.028875956225566542,,1
30024,2020-08-01,66,368,5.58,95515,2020,False,1675.2725772870801,0.6909909438308119,3.852797989844527,0.039396573963432116,,1
30026,2020-08-01,470,2551,5.43,32839,2020,False,318.17361799887544,14.312250677548038,77.68202442218094,1.47718092705493,,1
30027,2020-08-01,43,144,3.35,73095,2020,False,169.36949943008784,0.5882755318421232,1.9700389903550175,0.253882783763847,,1
30030,2020-08-01,840,3680,4.38,459403,2020,False,885.1148801153707,1.828459979582197,8.010396101026767,0.9490293507329917,,1
30035,2020-08-01,984,5261,5.35,33129,2020,False,75.36521399819732,29.702073711853664,158.80346524193305,13.056421494716867,,1
30037,2020-08-01,573,2807,4.9,36464,2020,False,189.60685348861423,15.7141290039491,76.9800351031154,3.0220426606805555,,1
30039,2020-08-01,12,73,6.08,32529,2020,False,287.2844923210319,0.36890159549940055,2.2441513726213533,0.04177044122030212,,1
30043,2020-08-01,18,101,5.61,34834,2020,False,605.2811228267215,0.5167365217890567,2.8994660389274847,0.029738247768141615,,1
31201,2020-08-01,449,1767,3.94,203944,2020,False,25.0906361699948,2.20158474875456,8.664143098105363,17.895122186536934,,1
31232,2020-08-01,66,346,5.24,37042,2020,False,215.05551811343304,1.7817612439933048,9.340748339722477,0.3068974959535225,,1
32054,2020-08-01,197,861,4.37,105643,2020,False,84.77150756514261,1.8647709739405356,8.150090398795944,2.3238940259333654,,1
33004,2020-08-01,75,331,4.41,77791,2020,False,26.723387498938525,0.9641218135774061,4.254990937254952,2.8065304221996206,,1
33024,2020-08-01,883,3948,4.47,271717,2020,False,183.94398938010136,3.2497046559471805,14.52982330881027,4.800374304024532,,1
33031,2020-08-01,16,73,4.56,39183,2020,False,83.58195771833634,0.4083403516831279,1.863052854554271,0.19142887336904163,,1
33037,2020-08-01,21,88,4.19,37537,2020,False,146.05480818404158,0.5594480112955218,2.344353571143139,0.14378164102299323,,1
33044,2020-08-01,502,2056,4.1,219910,2020,False,186.09970875552878,2.282752034923378,9.34927925060252,2.6974786976128797,,1
33066,2020-08-01,57,308,5.4,51509,2020,False,210.9703932700329,1.1066027296200664,5.979537556543517,0.2701800907535044,,1
