cod_ine,fecha,vut_por_1000_hab,vut_por_km2,percentil_vut_por_1000_hab,percentil_vut_por_km2,score_presion_turistica,metodo,version_metodologia
01059,2020-08-01,0.5984346210176538,0.5488062740179982,31.147540983606557,30.81967213114754,30.98360655737705,media_percentiles_50_50,1.0
02003,2020-08-01,0.8259911894273128,0.1277740298812771,40.0,11.80327868852459,25.901639344262296,media_percentiles_50_50,1.0
02009,2020-08-01,0.20399004528579,0.0093912965005245,4.590163934426229,1.3114754098360655,2.9508196721311473,media_percentiles_50_50,1.0
02037,2020-08-01,0.1655629139072847,0.0064160865698044,3.6065573770491803,0.32786885245901637,1.9672131147540983,media_percentiles_50_50,1.0
02081,2020-08-01,0.3185220576524924,0.0092764932796725,12.459016393442623,0.9836065573770492,6.721311475409836,media_percentiles_50_50,1.0
03009,2020-08-01,1.4826296458536914,0.6771558209603354,49.50819672131148,33.77049180327869,41.63934426229508,media_percentiles_50_50,1.0
03014,2020-08-01,11.304306600055709,18.83248619811857,85.24590163934427,87.21311475409836,86.22950819672131,media_percentiles_50_50,1.0
03031,2020-08-01,35.68488289567069,65.2856498100826,93.44262295081967,96.72131147540983,95.08196721311475,media_percentiles_50_50,1.0
03047,2020-08-01,125.0964588870788,123.68056471378137,100.0,99.01639344262296,99.50819672131148,media_percentiles_50_50,1.0
03050,2020-08-01,39.301762875907365,20.56175421082541,94.75409836065573,87.8688524590164,91.31147540983606,media_percentiles_50_50,1.0
03059,2020-08-01,1.2527085590465872,0.3538974325165395,46.885245901639344,24.59016393442623,35.73770491803279,media_percentiles_50_50,1.0
03063,2020-08-01,79.76276647909029,51.44536491620108,98.68852459016394,95.73770491803279,97.21311475409837,media_percentiles_50_50,1.0
03065,2020-08-01,3.17764573083722,2.284830245400907,64.59016393442623,57.377049180327866,60.983606557377044,media_percentiles_50_50,1.0
03066,2020-08-01,0.5301724954083274,0.6140687249931862,28.19672131147541,33.114754098360656,30.65573770491803,media_percentiles_50_50,1.0
03082,2020-08-01,100.8709308966305,41.00774303580081,99.67213114754098,94.42622950819673,97.04918032786885,media_percentiles_50_50,1.0
03093,2020-08-01,0.5438794141641738,0.1848814743547863,29.18032786885246,15.081967213114755,22.131147540983605,media_percentiles_50_50,1.0
03099,2020-08-01,33.029743328450415,7.093617461332098,93.11475409836065,78.36065573770492,85.73770491803279,media_percentiles_50_50,1.0
03104,2020-08-01,0.7301188633509536,0.2397365428203962,35.73770491803279,17.704918032786885,26.721311475409838,media_percentiles_50_50,1.0
03121,2020-08-01,37.14380085878149,21.24464109473405,94.09836065573771,88.52459016393442,91.31147540983606,media_percentiles_50_50,1.0
03122,2020-08-01,1.6277255925938483,2.367423111652033,51.14754098360656,58.68852459016394,54.91803278688525,media_percentiles_50_50,1.0
03133,2020-08-01,45.34234117188515,53.49761523819187,97.04918032786885,96.39344262295081,96.72131147540983,media_percentiles_50_50,1.0
03139,2020-08-01,21.56311258842581,12.88887519192548,90.1639344262295,83.60655737704919,86.88524590163934,media_percentiles_50_50,1.0
03140,2020-08-01,0.9369052847313716,0.0927391707709836,42.295081967213115,9.836065573770492,26.065573770491802,media_percentiles_50_50,1.0
04013,2020-08-01,2.871022541003964,1.9545224873667184,63.278688524590166,53.442622950819676,58.36065573770492,media_percentiles_50_50,1.0
04066,2020-08-01,22.326785827070044,1.1787233397639605,90.49180327868852,42.622950819672134,66.55737704918033,media_percentiles_50_50,1.0
04079,2020-08-01,7.56859996139506,12.455455539820118,79.34426229508196,82.95081967213115,81.14754098360655,media_percentiles_50_50,1.0
04902,2020-08-01,1.5401513885240812,0.5704565957684081,50.49180327868852,32.131147540983605,41.31147540983606,media_percentiles_50_50,1.0
05019,2020-08-01,2.210077267042437,0.5591570697436319,57.704918032786885,31.475409836065573,44.59016393442623,media_percentiles_50_50,1.0
06011,2020-08-01,0.1181509378230689,0.024280049644915,2.2950819672131146,3.9344262295081966,3.1147540983606556,media_percentiles_50_50,1.0
06015,2020-08-01,0.3841466645472368,0.0402592617172616,16.39344262295082,6.229508196721311,11.311475409836065,media_percentiles_50_50,1.0
06044,2020-08-01,0.0268211565282695,0.0017877290995079,0.0,0.0,0.0,media_percentiles_50_50,1.0
06083,2020-08-01,2.9052193188688116,0.2001234970386329,63.60655737704918,16.39344262295082,40.0,media_percentiles_50_50,1.0
06153,2020-08-01,0.077663870767319,0.0130441435681072,1.3114754098360655,1.639344262295082,1.4754098360655736,media_percentiles_50_50,1.0
