anio,escenario,rho_spearman_score_base,solapamiento_top_10_pct,varianza_pca_componente_1,varianza_pca_acumulada_2
2018,iguales,0.9999831899993928,1.0,0.46294265305403337,0.8065333703451333
2018,residencial_50,0.8333259078470788,0.6428571428571429,0.46294265305403337,0.8065333703451333
2018,hogares_50,0.8262704458061089,0.6071428571428571,0.46294265305403337,0.8065333703451333
2018,socioeconomico_50,0.9090641101308969,0.7142857142857143,0.46294265305403337,0.8065333703451333
2019,iguales,0.9999929846476968,1.0,0.523819206186082,0.7752103408814428
2019,residencial_50,0.8192213046270583,0.7931034482758621,0.523819206186082,0.7752103408814428
2019,hogares_50,0.912246495797059,0.7931034482758621,0.523819206186082,0.7752103408814428
2019,socioeconomico_50,0.9128293745078945,0.896551724137931,0.523819206186082,0.7752103408814428
2020,iguales,0.9999889983442156,1.0,0.5718082489357222,0.870713551679613
2020,residencial_50,0.7633166257010182,0.6206896551724138,0.5718082489357222,0.870713551679613
2020,hogares_50,0.934745429736095,0.7241379310344828,0.5718082489357222,0.870713551679613
2020,socioeconomico_50,0.8804305786902044,0.6551724137931034,0.5718082489357222,0.870713551679613
2021,iguales,0.9999910938481743,1.0,0.5428698984687749,0.8466556750195199
2021,residencial_50,0.8069869377974981,0.6551724137931034,0.5428698984687749,0.8466556750195199
2021,hogares_50,0.9347103405154376,0.7586206896551724,0.5428698984687749,0.8466556750195199
2021,socioeconomico_50,0.8960297726325122,0.6896551724137931,0.5428698984687749,0.8466556750195199
2022,iguales,0.9999925345964928,1.0,0.44773527024264775,0.7658026531218689
2022,residencial_50,0.8583657423480923,0.7586206896551724,0.44773527024264775,0.7658026531218689
2022,hogares_50,0.9172318219657039,0.7586206896551724,0.44773527024264775,0.7658026531218689
2022,socioeconomico_50,0.9084613037258396,0.7241379310344828,0.44773527024264775,0.7658026531218689
2023,iguales,0.9999915188807125,1.0,0.407742067296,0.7952361689021931
2023,residencial_50,0.8006665737649957,0.7096774193548387,0.407742067296,0.7952361689021931
2023,hogares_50,0.8647295432738038,0.7741935483870968,0.407742067296,0.7952361689021931
2023,socioeconomico_50,0.8741276636424606,0.7419354838709677,0.407742067296,0.7952361689021931
