capa,r2_auxiliar,vif
asequibilidad,0.3022235177209096,1.433123679854875
turismo,0.2855947947131041,1.3997658368102357
especulacion,0.13572037114948465,1.1570329400566708
gentrificacion,0.16038145055253994,1.1910170406050278
riesgo_futuro,0.149692031914628,1.1760444892121706
