cod_ine,anio,compraventas,trimestres_tx,viviendas,anio_referencia,tasa_rotacion,precio_m2,trimestres_precio,crecimiento_precio,aceleracion_precio,renta_media,crecimiento_renta,desacoplamiento_precio_renta,pct_propiedad_sociedades,variacion_propiedad_sociedades,elegible_score_principal
08184,2005,1801,4,32476,2021,5.545633698731371,2222.860302457467,4.0,,,,,,,,False
08187,2005,4173,4,92772,2021,4.4981244340964945,2192.086626962642,4.0,,,,,,,,False
08194,2005,486,4,14877,2021,3.266787658802178,2555.821216848674,4.0,,,,,,,,False
08200,2005,1529,4,33904,2021,4.50979235488438,2415.461000602773,4.0,,,,,,,,False
08205,2005,1397,4,35770,2021,3.9055074084428294,3036.8070621468933,4.0,,,,,,,,False
08211,2005,645,4,18719,2021,3.4456968855173886,2624.5777434312213,4.0,,,,,,,,False
08217,2005,448,4,13577,2021,3.299698018708109,2738.919014084507,4.0,,,,,,,,False
08231,2005,763,4,14150,2021,5.392226148409894,2172.8788778877883,4.0,,,,,,,,False
08245,2005,2197,4,48100,2021,4.5675675675675675,2450.6102990033223,4.0,,,,,,,,False
08252,2005,827,4,13768,2021,6.006682161533992,2201.590260631001,4.0,,,,,,,,False
08263,2005,480,4,11530,2021,4.163052905464007,2127.4500000000003,4.0,,,,,,,,False
08266,2005,1073,4,23858,2021,4.49744320563333,2389.1268318965517,4.0,,,,,,,,False
08279,2005,5542,4,101134,2021,5.479858405679593,2131.018974145121,4.0,,,,,,,,False
08298,2005,1412,4,19836,2021,7.118370639241783,1754.438845144357,4.0,,,,,,,,False
08301,2005,1250,4,26586,2021,4.701722711201384,2462.116756756757,4.0,,,,,,,,False
08305,2005,661,4,18264,2021,3.6191414805081035,2016.4377672209027,4.0,,,,,,,,False
08307,2005,1309,4,33155,2021,3.948122455134972,2193.6841890790547,4.0,,,,,,,,False
09018,2005,520,4,19708,2021,2.638522427440633,1498.086879432624,4.0,,,,,,,,False
