cod_ine,anio,renta_media,fuente
01010,2021,40921.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01010,2022,42042.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01010,2023,45243.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01011,2015,27540.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01011,2016,29932.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01011,2017,28710.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01011,2018,28366.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01011,2019,31326.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01011,2020,24642.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01011,2021,27866.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01011,2022,25740.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01011,2023,30071.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01013,2015,38648.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01013,2016,39003.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01013,2017,40188.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01013,2018,39195.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01013,2019,42285.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01013,2020,42161.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01013,2021,44789.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01013,2022,45152.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01013,2023,46600.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01014,2015,31583.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01014,2016,31761.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01014,2017,33384.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01014,2018,32811.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01014,2019,33181.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01014,2020,33079.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01014,2021,35623.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01014,2022,38777.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01014,2023,42267.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01016,2015,26951.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
