componente,varianza_explicada,varianza_acumulada,carga_asequibilidad,carga_turismo,carga_especulacion,carga_gentrificacion,carga_riesgo_futuro
1,0.35774499876298665,0.35774499876298665,0.5989564454456217,0.6031699001539685,0.15368914658745916,0.486686872692082,-0.13020285011403288
2,0.275200459711082,0.6329454584740686,-0.20334649721980846,-0.012075240842793319,0.6519822465835415,0.2435418502099609,0.6885571203344065
3,0.15090235142220895,0.7838478098962776,-0.007860687122558524,-0.3475127329461703,-0.5646973827866179,0.6938273551558735,0.28088000489460707
4,0.1198858788943954,0.903733688790673,0.3270410165386117,0.28952346476753943,-0.415285451622616,-0.45473390117600704,0.6557251021901177
5,0.096266311209327,1.0,0.7020568079770563,-0.6568495443373031,0.24485435651758583,-0.12507571908314236,0.0082050635059955
