cod_ine,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico,proyeccion_duracion_max_ola_calor_dias,proyeccion_grados_dia_refrigeracion,proyeccion_racha_seca_max_dias,tendencia_asequibilidad,tendencia_turismo,tendencia_especulacion,tendencia_gentrificacion,percentil_proyeccion_duracion_max_ola_calor_dias,percentil_proyeccion_grados_dia_refrigeracion,percentil_proyeccion_racha_seca_max_dias,percentil_tendencia_asequibilidad,percentil_tendencia_turismo,percentil_tendencia_especulacion,percentil_tendencia_gentrificacion,score_riesgo_climatico,n_tendencias_validas,score_tendencia_presion,elegible_score,score_riesgo_futuro,metodo,version_metodologia
01059,2023,2041-2060,SSP2-4.5,ANOMALY,5.309523807253156,56.13098573684693,6.985000051770892,-1.467988754210161,-0.4644808743169418,,2.2692529383755655,4.966887417218543,16.556291390728475,4.635761589403973,18.360655737704917,36.39344262295082,,71.37809187279152,8.719646799116997,3,42.04406341114909,True,22.049413443929836,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
02003,2023,2041-2060,SSP2-4.5,ANOMALY,27.551350566436504,202.30068638242523,19.720574707820496,-1.4485910436633964,0.5737704918032774,,2.62302916348395,89.0728476821192,80.79470198675497,58.609271523178805,19.016393442622952,61.63934426229508,,75.97173144876325,76.15894039735099,3,52.20915638456043,True,66.57902679223477,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
02009,2023,2041-2060,SSP2-4.5,ANOMALY,25.9914286340986,139.27914470490956,23.55904769897461,-0.2654521230377291,3.9071038251366126,,-4.462530653227519,81.12582781456953,45.6953642384106,93.04635761589404,42.295081967213115,96.39344262295081,,11.307420494699647,73.28918322295806,3,49.998648361621186,True,63.97296927842331,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
02037,2023,2041-2060,SSP2-4.5,ANOMALY,25.152333347532483,194.8928668721517,23.043888812594943,-1.048369344841565,3.360655737704917,,-5.663138726704969,76.49006622516556,76.82119205298014,89.73509933774834,27.21311475409836,94.42622950819673,,7.067137809187279,81.01545253863135,3,42.90216069049412,True,65.77013579937646,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
02081,2023,2041-2060,SSP2-4.5,ANOMALY,28.096157357427806,212.82414754231772,16.524629518720836,-0.1673265728872256,6.188524590163934,,-4.358068315665477,91.05960264900662,87.74834437086092,41.05960264900662,45.24590163934426,99.50819672131148,,12.36749116607774,73.28918322295804,3,52.37386317557783,True,64.92305520400596,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
03009,2023,2041-2060,SSP2-4.5,ANOMALY,23.964999922116597,112.89611549377442,20.203889179229737,0.5700333848223618,-1.2568306010928971,,2.6824772295037698,70.19867549668874,32.11920529801324,62.913907284768214,67.21311475409836,24.262295081967213,,77.3851590106007,55.07726269315673,3,56.28685628222209,True,55.561100128782876,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
03014,2023,2041-2060,SSP2-4.5,ANOMALY,26.120444377263382,180.459715423584,20.136666514078776,0.4132349576755897,-1.01092896174863,,2.5929725462382485,82.11920529801324,70.19867549668874,61.920529801324506,63.278688524590166,28.524590163934427,,75.26501766784452,71.41280353200882,3,55.6894321187897,True,65.12345496672117,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
03031,2023,2041-2060,SSP2-4.5,ANOMALY,25.372777716318765,146.3988127814399,21.333703189425997,-0.0458365635025573,0.2459016393442633,,-5.241460541813902,77.81456953642385,50.33112582781457,75.82781456953643,50.16393442622951,55.08196721311475,,7.773851590106007,67.99116997792494,3,37.67325107648342,True,55.86400241734833,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
03047,2023,2041-2060,SSP2-4.5,ANOMALY,25.57166670163472,135.02041123708088,20.712500349680585,-0.4990698755958599,-2.3684757858670005e-15,,0.3466021589810495,78.80794701986756,43.37748344370861,69.5364238410596,36.721311475409834,43.278688524590166,,53.003533568904594,63.90728476821192,3,44.33451118963487,True,56.0781753367811,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
03050,2023,2041-2060,SSP2-4.5,ANOMALY,24.42249965667725,152.19684162139893,22.386666679382323,1.912568306010925,0.6557377049180199,,,72.51655629139073,54.63576158940398,84.76821192052981,91.47540983606558,64.26229508196721,,,70.6401766004415,2,77.8688524590164,True,73.53164694387146,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
03059,2023,2041-2060,SSP2-4.5,ANOMALY,27.10638879140218,196.86651369730632,20.86944446563721,-0.1375423546232633,-3.360655737704919,,1.527175623108261,87.74834437086092,77.81456953642385,71.19205298013244,46.557377049180324,7.213114754098361,,63.60424028268551,78.91832229580574,3,39.1249106953214,True,63.000957655612,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
