cod_ine,anio,saldo_exterior,saldo_interior,saldo_total,fuente
03099,2024,1596,-512,1084,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03104,2021,18,28,46,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03104,2022,174,-112,62,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03104,2023,148,-8,140,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03104,2024,150,-129,21,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03121,2021,1308,594,1902,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03121,2022,1305,228,1533,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03121,2023,321,282,603,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03121,2024,901,338,1239,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03122,2021,306,68,374,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03122,2022,682,88,770,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03122,2023,714,-230,484,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03122,2024,531,-477,54,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03133,2021,721,-32,689,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03133,2022,6849,-839,6010,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03133,2023,6501,-205,6296,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03133,2024,5319,-350,4969,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03139,2021,44,130,174,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03139,2022,1350,82,1432,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03139,2023,810,109,919,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03139,2024,549,206,755,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03140,2021,135,-13,122,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03140,2022,457,-152,305,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03140,2023,375,-112,263,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03140,2024,557,-103,454,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04013,2021,-482,-1060,-1542,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04013,2022,2860,-576,2284,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04013,2023,1327,-106,1221,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04013,2024,2789,64,2853,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04066,2021,190,-226,-36,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
