cod_ine,nombre,score_asequibilidad,asequibilidad_disponible,score_turismo,turismo_disponible,score_especulacion,especulacion_disponible,score_gentrificacion,gentrificacion_disponible,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico,score_riesgo_futuro,riesgo_futuro_elegible_origen,version_riesgo_futuro,riesgo_futuro_disponible,capas_actuales_disponibles,capas_ipr5_disponibles,elegible_ipr4_observado,elegible_ipr5_prospectivo,motivo_no_elegible_ipr5,anio_corte,fecha_turismo,tipo_producto
04013,Almería,52.78688524590164,True,66.88524590163934,True,65.02732240437159,True,50.81967213114754,True,2023,2041-2060,SSP2-4.5,ANOMALY,65.62351922389104,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
04066,Nijar,54.09836065573771,True,70.49180327868854,True,73.44262295081967,True,21.74863387978142,True,2023,2041-2060,SSP2-4.5,ANOMALY,63.186407556182814,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
04079,Roquetas de Mar,53.77049180327869,True,83.11475409836066,True,45.35519125683061,True,46.33879781420765,True,2023,2041-2060,SSP2-4.5,ANOMALY,52.65255771029134,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
04902,Ejido (El),67.21311475409836,True,42.62295081967213,True,62.40437158469945,True,40.65573770491803,True,2023,2041-2060,SSP2-4.5,ANOMALY,48.51662534387177,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
05019,Ávila,75.40983606557377,True,47.37704918032787,True,49.61748633879781,True,47.21311475409836,True,2023,2041-2060,SSP2-4.5,ANOMALY,47.84229538630964,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
06011,Almendralejo,85.24590163934427,True,0.1639344262295081,True,35.30054644808743,True,45.68306010928961,True,2023,2041-2060,SSP2-4.5,ANOMALY,54.80475168024507,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
06015,Badajoz,54.75409836065574,True,4.918032786885246,True,67.43169398907104,True,63.82513661202186,True,2023,2041-2060,SSP2-4.5,ANOMALY,58.30780271296968,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
06044,Don Benito,84.91803278688525,True,2.459016393442623,True,62.185792349726775,True,61.4207650273224,True,2023,2041-2060,SSP2-4.5,ANOMALY,62.95641241159524,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
06083,Mérida,86.55737704918033,True,40.1639344262295,True,56.17486338797814,True,41.256830601092894,True,2023,2041-2060,SSP2-4.5,ANOMALY,60.285598248317584,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
06153,Villanueva de la Serena,90.81967213114754,True,19.50819672131148,True,35.95628415300546,True,54.97267759562842,True,2023,2041-2060,SSP2-4.5,ANOMALY,69.57811312561068,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
07011,Calvià,0.3278688524590163,True,74.26229508196721,True,82.40437158469945,True,59.071038251366126,True,2023,2041-2060,SSP2-4.5,ANOMALY,53.12380278662566,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
07015,Ciutadella de Menorca,7.213114754098361,True,86.88524590163934,True,52.459016393442624,True,86.99453551912568,True,2023,2041-2060,SSP2-4.5,ANOMALY,77.44207718046955,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
07026,Eivissa,0.6557377049180327,True,89.34426229508196,True,41.63934426229508,True,41.31147540983607,True,2023,2041-2060,SSP2-4.5,ANOMALY,60.072814434628334,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
07027,Inca,38.68852459016394,True,74.26229508196721,True,76.72131147540983,True,57.4863387978142,True,2023,2041-2060,SSP2-4.5,ANOMALY,62.41708516945798,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
07031,Llucmajor,11.80327868852459,True,70.98360655737704,True,55.51912568306011,True,62.40437158469945,True,2023,2041-2060,SSP2-4.5,ANOMALY,61.913057555626565,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
07032,Mahón,32.78688524590164,True,61.803278688524586,True,65.02732240437159,True,75.51912568306011,True,2023,2041-2060,SSP2-4.5,ANOMALY,70.11547569678748,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
07033,Manacor,35.08196721311475,True,78.19672131147541,True,70.1639344262295,True,67.21311475409837,True,2023,2041-2060,SSP2-4.5,ANOMALY,56.320915779118494,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
07036,Marratxí,27.868852459016395,True,60.65573770491803,True,36.28415300546448,True,59.78142076502732,True,2023,2041-2060,SSP2-4.5,ANOMALY,58.80944545870605,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
07040,Palma de Mallorca,15.081967213114757,True,64.59016393442623,True,76.6120218579235,True,55.73770491803278,True,2023,2041-2060,SSP2-4.5,ANOMALY,56.58711040813981,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
07054,Santa Eulalia del Río,0.0,True,83.60655737704917,True,29.398907103825135,True,49.89071038251367,True,2023,2041-2060,SSP2-4.5,ANOMALY,63.07705285033936,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08015,Badalona,15.40983606557377,True,57.70491803278688,True,53.333333333333336,True,44.8087431693989,True,2023,2041-2060,SSP2-4.5,ANOMALY,41.80669346158682,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08019,Barcelona,2.622950819672131,True,83.77049180327869,True,17.81420765027322,True,30.163934426229513,True,2023,2041-2060,SSP2-4.5,ANOMALY,27.173080171592854,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08056,Castelldefels,6.229508196721311,True,77.21311475409836,True,39.34426229508197,True,42.185792349726775,True,2023,2041-2060,SSP2-4.5,ANOMALY,47.03742069034835,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08073,Cornellà de Llobregat,8.852459016393443,True,59.18032786885246,True,39.34426229508196,True,47.540983606557376,True,2023,2041-2060,SSP2-4.5,ANOMALY,44.05124819392597,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08077,Esplugues de Llobregat,10.81967213114754,True,63.114754098360656,True,36.17486338797814,True,33.551912568306015,True,2023,2041-2060,SSP2-4.5,ANOMALY,39.67750803406435,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08089,Gavà,12.78688524590164,True,54.75409836065573,True,32.34972677595629,True,31.80327868852459,True,2023,2041-2060,SSP2-4.5,ANOMALY,40.18028426348943,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08096,Granollers,35.73770491803279,True,24.59016393442623,True,51.91256830601093,True,45.9016393442623,True,2023,2041-2060,SSP2-4.5,ANOMALY,38.71841996670392,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08101,Hospitalet de Llobregat (L'),7.868852459016393,True,74.91803278688525,True,56.6120218579235,True,37.377049180327866,True,2023,2041-2060,SSP2-4.5,ANOMALY,38.62805891301931,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08102,Igualada,65.57377049180327,True,30.0,True,50.1639344262295,True,53.00546448087432,True,2023,2041-2060,SSP2-4.5,ANOMALY,44.114884147199945,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08113,Manresa,74.75409836065573,True,43.606557377049185,True,55.08196721311475,True,49.07103825136611,True,2023,2041-2060,SSP2-4.5,ANOMALY,51.18320121931337,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
