cod_ine,anio_referencia,viviendas,fuente
10148,2021,22443,"INE, Censo de Población y Viviendas 2021, tabla 59525"
11004,2021,55815,"INE, Censo de Población y Viviendas 2021, tabla 59525"
11006,2021,15460,"INE, Censo de Población y Viviendas 2021, tabla 59525"
11012,2021,56479,"INE, Censo de Población y Viviendas 2021, tabla 59525"
11015,2021,49229,"INE, Censo de Población y Viviendas 2021, tabla 59525"
11020,2021,92974,"INE, Censo de Población y Viviendas 2021, tabla 59525"
11022,2021,30028,"INE, Censo de Población y Viviendas 2021, tabla 59525"
11027,2021,49077,"INE, Censo de Población y Viviendas 2021, tabla 59525"
11028,2021,18626,"INE, Censo de Población y Viviendas 2021, tabla 59525"
11030,2021,26868,"INE, Censo de Población y Viviendas 2021, tabla 59525"
11031,2021,39564,"INE, Censo de Población y Viviendas 2021, tabla 59525"
11032,2021,34536,"INE, Censo de Población y Viviendas 2021, tabla 59525"
11033,2021,19625,"INE, Censo de Población y Viviendas 2021, tabla 59525"
12009,2021,15657,"INE, Censo de Población y Viviendas 2021, tabla 59525"
12027,2021,17897,"INE, Censo de Población y Viviendas 2021, tabla 59525"
12032,2021,20301,"INE, Censo de Población y Viviendas 2021, tabla 59525"
12040,2021,91229,"INE, Censo de Población y Viviendas 2021, tabla 59525"
12084,2021,14658,"INE, Censo de Población y Viviendas 2021, tabla 59525"
12126,2021,15906,"INE, Censo de Población y Viviendas 2021, tabla 59525"
12135,2021,25363,"INE, Censo de Población y Viviendas 2021, tabla 59525"
12138,2021,20887,"INE, Censo de Población y Viviendas 2021, tabla 59525"
13005,2021,17129,"INE, Censo de Población y Viviendas 2021, tabla 59525"
13034,2021,41592,"INE, Censo de Población y Viviendas 2021, tabla 59525"
13071,2021,26589,"INE, Censo de Población y Viviendas 2021, tabla 59525"
13082,2021,19217,"INE, Censo de Población y Viviendas 2021, tabla 59525"
13087,2021,17368,"INE, Censo de Población y Viviendas 2021, tabla 59525"
14021,2021,155400,"INE, Censo de Población y Viviendas 2021, tabla 59525"
14038,2021,21141,"INE, Censo de Población y Viviendas 2021, tabla 59525"
14056,2021,14955,"INE, Censo de Población y Viviendas 2021, tabla 59525"
15002,2021,16701,"INE, Censo de Población y Viviendas 2021, tabla 59525"
15005,2021,17841,"INE, Censo de Población y Viviendas 2021, tabla 59525"
15019,2021,19427,"INE, Censo de Población y Viviendas 2021, tabla 59525"
15030,2021,136205,"INE, Censo de Población y Viviendas 2021, tabla 59525"
15031,2021,15752,"INE, Censo de Población y Viviendas 2021, tabla 59525"
15036,2021,42672,"INE, Censo de Población y Viviendas 2021, tabla 59525"
15054,2021,21735,"INE, Censo de Población y Viviendas 2021, tabla 59525"
15058,2021,19268,"INE, Censo de Población y Viviendas 2021, tabla 59525"
15073,2021,17097,"INE, Censo de Población y Viviendas 2021, tabla 59525"
15078,2021,56746,"INE, Censo de Población y Viviendas 2021, tabla 59525"
16078,2021,31611,"INE, Censo de Población y Viviendas 2021, tabla 59525"
17023,2021,25589,"INE, Censo de Población y Viviendas 2021, tabla 59525"
17066,2021,21062,"INE, Censo de Población y Viviendas 2021, tabla 59525"
17079,2021,50333,"INE, Censo de Población y Viviendas 2021, tabla 59525"
17095,2021,25496,"INE, Censo de Población y Viviendas 2021, tabla 59525"
17114,2021,16713,"INE, Censo de Población y Viviendas 2021, tabla 59525"
17155,2021,11642,"INE, Censo de Población y Viviendas 2021, tabla 59525"
18017,2021,29769,"INE, Censo de Población y Viviendas 2021, tabla 59525"
18087,2021,141257,"INE, Censo de Población y Viviendas 2021, tabla 59525"
18140,2021,32841,"INE, Censo de Población y Viviendas 2021, tabla 59525"
19046,2021,14220,"INE, Censo de Población y Viviendas 2021, tabla 59525"
19130,2021,41937,"INE, Censo de Población y Viviendas 2021, tabla 59525"
20030,2021,13535,"INE, Censo de Población y Viviendas 2021, tabla 59525"
20045,2021,28045,"INE, Censo de Población y Viviendas 2021, tabla 59525"
20067,2021,17999,"INE, Censo de Población y Viviendas 2021, tabla 59525"
20069,2021,94733,"INE, Censo de Población y Viviendas 2021, tabla 59525"
21041,2021,68714,"INE, Censo de Población y Viviendas 2021, tabla 59525"
21044,2021,21967,"INE, Censo de Población y Viviendas 2021, tabla 59525"
22125,2021,29309,"INE, Censo de Población y Viviendas 2021, tabla 59525"
23005,2021,20048,"INE, Censo de Población y Viviendas 2021, tabla 59525"
23050,2021,58293,"INE, Censo de Población y Viviendas 2021, tabla 59525"
23055,2021,29385,"INE, Censo de Población y Viviendas 2021, tabla 59525"
23092,2021,18318,"INE, Censo de Población y Viviendas 2021, tabla 59525"
24089,2021,79199,"INE, Censo de Población y Viviendas 2021, tabla 59525"
24115,2021,42549,"INE, Censo de Población y Viviendas 2021, tabla 59525"
24142,2021,17161,"INE, Censo de Población y Viviendas 2021, tabla 59525"
25120,2021,68299,"INE, Censo de Población y Viviendas 2021, tabla 59525"
