cod_ine,anio,mediana_renta_unidad_consumo,renta_neta_media_hogar,renta_neta_media_persona,pct_renta_alta_200,pct_renta_baja_60,indice_gini,ratio_p80_p20,edad_media,pct_hogares_unipersonales,pct_mayor_65,pct_menor_18,pct_poblacion_espanola,tamano_medio_hogar,fuente
02037,2020,12250,24660,9296,4.1,31.2,30.5,2.4,41.8,28.3,17.0,17.8,91.0,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02037,2021,12950,25673,9742,4.0,30.8,29.9,2.5,42.0,28.8,17.1,17.5,90.6,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02037,2022,13650,26969,10320,3.1,31.8,29.4,2.4,42.2,29.1,17.4,17.4,90.0,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02037,2023,14350,28793,10960,2.8,32.8,29.3,2.5,42.4,29.1,17.8,17.3,88.8,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2015,10850,22830,8112,4.3,28.6,30.4,2.6,40.4,24.6,16.8,19.4,88.7,2.8,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2016,11550,24035,8444,4.9,26.2,30.2,2.4,40.8,23.8,17.2,19.3,89.1,2.8,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2017,12250,25146,8994,4.7,24.8,29.0,2.3,40.9,24.4,17.1,19.5,88.9,2.8,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2018,12950,26048,9333,4.2,24.4,28.3,2.4,41.2,24.4,17.3,19.1,89.0,2.8,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2019,13650,27731,9942,4.2,23.8,27.6,2.4,41.5,24.5,17.4,19.0,88.9,2.8,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2020,13650,27629,10004,4.2,24.0,28.0,2.4,41.7,25.2,17.4,18.7,88.8,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2021,14350,28896,10519,3.9,22.5,27.0,2.3,42.1,25.3,17.6,18.4,88.5,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2022,15750,30331,11058,3.4,24.7,27.5,2.2,42.2,25.3,17.8,18.2,87.8,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2023,16450,31856,11716,3.0,26.1,27.2,2.3,42.6,25.7,18.3,17.7,87.3,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2015,12250,23650,9609,8.0,24.5,32.9,2.7,43.1,29.3,19.9,17.3,95.1,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2016,12950,24402,9859,8.5,23.1,32.7,2.8,43.3,29.0,20.1,17.3,94.8,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2017,13650,25190,10288,8.0,22.5,31.5,2.7,43.5,29.7,20.4,17.3,94.4,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2018,14350,26345,10786,7.4,21.5,30.7,2.5,43.8,30.2,20.6,17.1,93.7,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2019,15050,27347,11220,7.0,21.6,29.9,2.4,43.9,30.3,20.8,17.0,92.9,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2020,15050,27794,11496,7.4,21.2,30.0,2.4,44.2,30.7,21.1,16.7,92.6,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2021,15750,28942,12081,7.2,20.5,29.3,2.6,44.4,31.6,21.3,16.4,92.4,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2022,16450,29985,12577,6.0,22.3,29.4,2.5,44.4,31.9,21.4,16.1,91.2,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2023,17150,31566,13256,5.5,24.1,29.6,2.4,44.4,31.9,21.6,16.0,89.6,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03014,2015,12950,26296,10231,12.9,30.1,39.7,3.8,41.9,30.1,18.0,17.9,87.4,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03014,2016,12950,26992,10415,13.4,29.3,39.5,3.8,42.2,29.2,18.4,17.9,87.8,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03014,2017,13650,27759,10802,12.3,28.8,38.1,3.5,42.4,30.2,18.6,17.9,87.2,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03014,2018,14350,28509,11126,11.6,28.7,37.8,3.6,42.5,30.2,18.7,17.9,86.3,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03014,2019,15050,29825,11621,11.0,28.3,37.0,3.5,42.7,30.2,18.9,17.8,85.3,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03014,2020,15050,29745,11676,11.3,28.2,36.7,3.5,42.9,30.5,19.2,17.6,85.4,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03014,2021,15750,30701,12148,10.9,28.0,36.0,3.3,43.2,30.9,19.5,17.3,85.0,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03014,2022,16450,32439,12743,9.7,29.1,35.9,3.4,43.2,30.5,19.5,17.1,82.4,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03014,2023,17150,34936,13681,8.8,30.1,35.7,3.3,43.2,30.4,19.6,16.9,80.8,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03031,2015,11550,20998,9029,6.8,32.8,36.7,3.1,42.7,39.3,18.5,15.5,73.3,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03031,2016,11550,21781,8983,6.9,33.4,37.2,3.5,43.0,37.0,18.9,15.7,73.6,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03031,2017,12250,22793,9724,6.6,29.7,34.7,3.0,43.3,39.3,19.3,15.5,72.9,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03031,2018,12950,23763,10124,6.2,29.8,34.2,2.8,43.6,39.1,19.8,15.3,71.5,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03031,2019,13650,24900,10553,5.8,29.6,33.4,2.8,43.9,39.0,20.2,15.1,70.0,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03031,2020,12250,22939,9891,5.3,35.0,34.7,3.0,44.5,39.5,21.1,14.8,70.8,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03031,2021,13650,24095,10471,5.1,32.8,33.3,2.9,44.9,39.5,22.0,14.7,70.4,2.2,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03031,2022,14350,26437,11349,4.7,31.3,32.5,2.8,44.9,38.9,22.3,14.7,69.8,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03031,2023,15750,29146,12263,4.5,31.6,32.6,2.8,44.9,38.3,22.4,14.7,67.9,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03047,2015,10850,21063,8221,6.4,34.2,36.8,3.4,43.3,33.1,20.8,16.3,58.4,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03047,2016,10150,20945,7287,5.4,39.9,39.1,3.8,43.0,24.8,20.5,17.0,56.0,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03047,2017,11550,22369,8663,5.9,32.0,35.2,3.2,43.2,31.7,20.8,17.0,54.7,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03047,2018,12250,23549,9089,5.4,32.4,34.8,3.0,44.4,31.4,23.0,16.0,52.8,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03047,2019,12950,24546,9436,5.0,32.4,34.5,3.1,44.4,31.5,22.8,15.9,51.7,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03047,2020,12250,23413,8996,4.5,35.9,34.7,3.0,44.8,30.9,23.1,15.5,51.6,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03047,2021,13650,25171,9916,5.2,32.6,34.2,2.9,45.2,31.0,23.7,15.3,50.8,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03047,2022,14350,27142,10528,5.0,32.5,34.2,3.1,44.8,30.7,23.2,15.9,48.0,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03047,2023,15050,30717,11768,4.6,34.5,34.9,3.0,44.6,30.8,22.5,16.1,47.1,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03050,2015,12950,25330,10406,12.4,28.4,38.9,3.7,42.4,33.3,18.8,18.1,83.6,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03050,2016,12950,25869,10399,12.3,27.9,38.9,3.8,42.6,31.1,19.1,18.0,83.8,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03050,2017,13650,26650,10850,12.2,27.0,37.6,3.5,42.9,32.6,19.4,17.8,83.5,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03050,2018,14350,27697,11332,11.5,25.6,36.6,3.3,43.3,32.7,19.9,17.5,82.6,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03050,2019,15050,28796,11781,11.0,25.7,36.1,3.1,43.5,33.3,19.8,17.2,81.3,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03050,2020,15050,29013,11974,11.3,25.2,35.4,3.2,44.0,33.7,20.3,16.8,81.7,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03050,2021,16450,30573,12670,11.4,23.7,34.7,3.1,44.3,33.7,20.8,16.4,81.4,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03050,2022,17150,32275,13394,10.3,24.5,34.3,2.9,44.6,33.8,21.1,16.3,79.8,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03050,2023,17850,35003,14584,9.3,24.7,34.2,2.9,44.7,33.7,21.3,16.2,78.8,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03059,2015,10150,20005,7214,3.1,38.5,34.4,3.0,39.8,23.5,15.8,20.5,88.9,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03059,2016,10150,20929,7541,3.5,36.0,33.7,3.1,40.0,23.3,16.1,20.5,89.0,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03059,2017,10850,21774,7849,3.1,35.6,32.6,2.9,40.3,23.3,16.4,20.3,88.3,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
