anio,escenario,peso_rotacion,peso_aceleracion,peso_desacoplamiento,spearman_score_base,cambio_rango_medio,cambio_rango_maximo,solapamiento_top_10_pct
2022,pesos_iguales,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,1.0
2022,enfasis_rotacion,0.5,0.25,0.25,0.9423484486107302,22.594771241830067,78.0,0.8387096774193549
2022,enfasis_aceleracion,0.25,0.5,0.25,0.9743271360740927,15.016339869281046,70.0,0.9032258064516129
2022,enfasis_desacoplamiento,0.25,0.25,0.5,0.9822282494966766,11.647058823529411,70.5,0.8709677419354839
2023,pesos_iguales,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,1.0
2023,enfasis_rotacion,0.5,0.25,0.25,0.9511114927045622,20.679738562091504,77.0,0.8387096774193549
2023,enfasis_aceleracion,0.25,0.5,0.25,0.9778569855850219,13.869281045751634,69.0,0.9032258064516129
2023,enfasis_desacoplamiento,0.25,0.25,0.5,0.9804318645436069,13.294117647058824,57.0,0.9354838709677419
