cod_ine,anio,trimestre,compraventas,fuente
01059,2021,4,702,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2022,1,804,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2022,2,732,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2022,3,752,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2022,4,644,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2023,1,600,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2023,2,772,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2023,3,488,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2023,4,720,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2024,1,838,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2024,2,870,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2024,3,669,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2024,4,855,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2025,1,776,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2025,2,905,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2025,3,743,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2025,4,913,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2026,1,827,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2004,1,725,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2004,2,710,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2004,3,566,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2004,4,806,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2005,1,655,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2005,2,924,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2005,3,995,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2005,4,884,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2006,1,781,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2006,2,862,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2006,3,678,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2006,4,607,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2007,1,767,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2007,2,770,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2007,3,562,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2007,4,554,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2008,1,384,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2008,2,481,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2008,3,359,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2008,4,576,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2009,1,353,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2009,2,429,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2009,3,379,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2009,4,640,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2010,1,586,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2010,2,971,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2010,3,282,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2010,4,621,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2011,1,231,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2011,2,264,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2011,3,192,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2011,4,475,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2012,1,168,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2012,2,220,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2012,3,260,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
