cod_ine,nombre,anio,asequibilidad_disponible,asequibilidad_observaciones,turismo_disponible,turismo_observaciones,especulacion_disponible,especulacion_observaciones,gentrificacion_disponible,gentrificacion_observaciones,capas_disponibles,elegible_indice_completo,estado_integracion
08245,Santa Coloma Gramanet,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08252,Barberà del Vallès,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08260,Santa Perpètua de Mogoda,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
08263,Sant Vicenç dels Horts,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08266,Cerdanyola del Vallès,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08270,Sitges,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
08279,Terrassa,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08298,Vic,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08301,Viladecans,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08305,Vilafranca del Penedès,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08307,Vilanova i la Geltrú,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
09018,Aranda de Duero,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
09059,Burgos,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
09219,Miranda de Ebro,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
10037,Cáceres,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
10148,Plasencia,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
11004,Algeciras,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
11006,Arcos de la frontera,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
11012,Cádiz,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
11015,Chiclana de la Frontera,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
11020,Jerez de la Frontera,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
11022,Línea de la Concepción (La),2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
11027,Puerto de Santa María,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
11028,Puerto Real,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
11030,Rota,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
11031,San Fernando,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
11032,Sanlúcar de Barrameda,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
11033,San Roque,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
12009,Almazora/Almassora,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
12027,Benicarló,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
12032,Burriana,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
12040,Castellón de la Plana,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
12084,Onda,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
12126,Vall d'Uixó (la),2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
12135,Villarreal/Vila-real,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
12138,Vinaròs,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
13005,Alcázar de San Juan,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
13034,Ciudad Real,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
13071,Puertollano,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
13082,Tomelloso,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
13087,Valdepeñas,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
14021,Córdoba,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
14038,Lucena,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
14056,Puente Génil,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
15002,Ames,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
15005,Arteixo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
15019,Carballo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
15030,Coruña (A),2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
15031,Culleredo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
15036,Ferrol,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
15054,Narón,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
15058,Oleiros,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
15073,Ribeira,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
