cod_ine,anio,log_cambio_renta_neta_media_persona_3a,brecha_precio_renta_3a,transformacion_hogares_ajustada_3a,winsor_log_cambio_renta_neta_media_persona_3a,percentil_log_cambio_renta_neta_media_persona_3a,winsor_brecha_precio_renta_3a,percentil_brecha_precio_renta_3a,winsor_transformacion_hogares_ajustada_3a,percentil_transformacion_hogares_ajustada_3a,score_riesgo_gentrificacion,municipios_cobertura_anio,pct_cobertura_anio,panel_completo_306,universo_normalizacion,metodo,version_metodologia
01059,2018,0.0475501120302654,-0.0484160662397724,-0.3720290949140205,0.05649335417548795,0.35842293906810035,-0.0484160662397724,52.32974910394265,-0.3720290949140205,24.372759856630825,25.686977299880525,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
02003,2018,0.1078965269330744,-0.1193381641704741,0.4024939179210204,0.1078965269330744,50.53763440860215,-0.1193381641704741,21.863799283154123,0.4024939179210204,69.89247311827957,47.43130227001194,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
02009,2018,0.1285906436835518,-0.1772331301801496,-0.0059984111339644,0.1285906436835518,79.92831541218638,-0.1772331301801496,5.734767025089606,-0.0059984111339644,41.935483870967744,42.53285543608124,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
02037,2018,0.1204163964571094,-0.1350420662207794,1.8507669989008684,0.1204163964571094,68.10035842293907,-0.1350420662207794,13.261648745519713,1.774282392692468,99.6415770609319,60.334528076463556,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
02081,2018,0.1402120597347823,-0.187277403839785,-0.3959043697934177,0.1402120597347823,90.68100358422939,-0.187277403839785,3.942652329749104,-0.3959043697934177,22.939068100358423,39.18757467144564,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03009,2018,0.1155488376199044,-0.1930351732318503,0.6277011098198504,0.1155488376199044,60.57347670250896,-0.1930351732318503,3.225806451612903,0.6277011098198504,79.92831541218638,47.909199522102746,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03014,2018,0.0838623847562985,-0.049747808866434,-0.1638065611251634,0.0838623847562985,13.261648745519713,-0.049747808866434,51.61290322580645,-0.1638065611251634,34.05017921146953,32.97491039426523,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03031,2018,0.1144672233575355,0.0185945268836333,-0.7142209449228181,0.1144672233575355,59.85663082437276,0.0185945268836333,68.81720430107526,-0.7142209449228181,13.620071684587813,47.43130227001194,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03047,2018,0.1003730349666369,-0.0167435926735861,-2.5813501915643298,0.1003730349666369,39.06810035842294,-0.0167435926735861,63.44086021505376,-2.5813501915643298,1.7921146953405018,34.76702508960573,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03059,2018,0.1416766713155789,-0.1113765569770934,-0.4168653971647542,0.1416766713155789,92.1146953405018,-0.1113765569770934,25.089605734767026,-0.4168653971647542,21.50537634408602,46.23655913978495,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03063,2018,0.1172763404721232,-0.0319724098952698,0.3897554243385448,0.1172763404721232,63.799283154121866,-0.0319724098952698,59.49820788530466,0.3897554243385448,68.45878136200717,63.918757467144566,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03065,2018,0.1345855582261281,-0.0682356017744372,0.2706659045188953,0.1345855582261281,86.02150537634408,-0.0682356017744372,44.086021505376344,0.2706659045188953,59.49820788530466,63.201911589008354,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03066,2018,0.1231870990600857,-0.1350151606685184,0.3345917265892756,0.1231870990600857,72.75985663082437,-0.1350151606685184,13.620071684587813,0.3345917265892756,64.51612903225806,50.29868578255675,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03082,2018,0.0853514333553746,0.0373546951308746,-0.3117904650419376,0.0853514333553746,17.204301075268816,0.0373546951308746,73.11827956989248,-0.3117904650419376,26.881720430107528,39.068100358422946,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03093,2018,0.1042510294378071,-0.1007735003311208,0.8937317935999085,0.1042510294378071,46.59498207885304,-0.1007735003311208,31.182795698924732,0.8937317935999085,89.96415770609319,55.913978494623656,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03099,2018,0.1230482786405391,-0.0547471714881409,-0.2319785477230352,0.1230482786405391,71.68458781362007,-0.0547471714881409,50.17921146953405,-0.2319785477230352,30.107526881720432,50.657108721624844,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03104,2018,0.14807652744755,-0.2693745112733142,0.5687943969672049,0.14807652744755,94.9820788530466,-0.22794771649303605,0.35842293906810035,0.5687943969672049,78.85304659498208,58.064516129032256,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03121,2018,0.1106710799741475,-0.0322052992099474,-0.0664510133670915,0.1106710799741475,54.83870967741935,-0.0322052992099474,58.78136200716846,-0.0664510133670915,38.35125448028674,50.657108721624844,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03122,2018,0.1161946463247491,-0.0443382196456604,-0.3102445756614544,0.1161946463247491,62.72401433691756,-0.0443382196456604,53.763440860215056,-0.3102445756614544,27.240143369175627,47.909199522102746,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03133,2018,0.1110553397955253,-0.050501880392559,-0.816595601898625,0.1110553397955253,55.913978494623656,-0.050501880392559,51.25448028673835,-0.816595601898625,12.186379928315413,39.78494623655914,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03139,2018,0.1195514264492018,-0.1263777395162996,-0.6765450547076384,0.1195514264492018,66.66666666666667,-0.1263777395162996,17.204301075268816,-0.6765450547076384,14.336917562724015,32.73596176821983,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
03140,2018,0.1284293407406271,-0.2097582870019969,0.2621735754639104,0.1284293407406271,79.56989247311827,-0.2097582870019969,1.7921146953405018,0.2621735754639104,58.422939068100355,46.59498207885304,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
04013,2018,0.1016127216751271,-0.1009994261145042,0.047060424905627,0.1016127216751271,40.86021505376344,-0.1009994261145042,30.82437275985663,0.047060424905627,45.878136200716845,39.18757467144564,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
04079,2018,0.1194416858956602,-0.0699478868114596,-0.5083730681097658,0.1194416858956602,65.94982078853046,-0.0699478868114596,42.65232974910394,-0.5083730681097658,18.996415770609318,42.53285543608124,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
04902,2018,0.1602232561619563,-0.0686308824734663,1.3255962481101775,0.1602232561619563,98.2078853046595,-0.0686308824734663,43.369175627240146,1.3255962481101775,96.7741935483871,79.45041816009558,280,91.50326797385621,False,municipios_observados_anio,media_percentiles_winsorizados_p01_p99,2.0
