cod_ine,fecha,plazas,plazas_por_vivienda,viviendas_turisticas,fuente
28074,2021-08-01,134,2.03,66,"INE, Viviendas turísticas en España, tabla 39363"
28079,2021-08-01,49186,3.35,14686,"INE, Viviendas turísticas en España, tabla 39363"
28080,2021-08-01,117,3.25,36,"INE, Viviendas turísticas en España, tabla 39363"
28092,2021-08-01,175,2.46,71,"INE, Viviendas turísticas en España, tabla 39363"
28096,2021-08-01,48,4.8,10,"INE, Viviendas turísticas en España, tabla 39363"
28106,2021-08-01,54,1.93,28,"INE, Viviendas turísticas en España, tabla 39363"
28113,2021-08-01,82,2.83,29,"INE, Viviendas turísticas en España, tabla 39363"
28115,2021-08-01,204,2.79,73,"INE, Viviendas turísticas en España, tabla 39363"
28123,2021-08-01,166,3.19,52,"INE, Viviendas turísticas en España, tabla 39363"
28127,2021-08-01,193,3.06,63,"INE, Viviendas turísticas en España, tabla 39363"
28130,2021-08-01,41,2.73,15,"INE, Viviendas turísticas en España, tabla 39363"
28134,2021-08-01,196,2.88,68,"INE, Viviendas turísticas en España, tabla 39363"
28148,2021-08-01,113,2.13,53,"INE, Viviendas turísticas en España, tabla 39363"
28161,2021-08-01,31,2.07,15,"INE, Viviendas turísticas en España, tabla 39363"
28181,2021-08-01,151,3.21,47,"INE, Viviendas turísticas en España, tabla 39363"
28903,2021-08-01,48,2.29,21,"INE, Viviendas turísticas en España, tabla 39363"
29007,2021-08-01,1529,7.32,209,"INE, Viviendas turísticas en España, tabla 39363"
29015,2021-08-01,661,5.55,119,"INE, Viviendas turísticas en España, tabla 39363"
29025,2021-08-01,13719,4.78,2873,"INE, Viviendas turísticas en España, tabla 39363"
29051,2021-08-01,12736,5.32,2395,"INE, Viviendas turísticas en España, tabla 39363"
29054,2021-08-01,8591,4.82,1784,"INE, Viviendas turísticas en España, tabla 39363"
29067,2021-08-01,22242,4.4,5054,"INE, Viviendas turísticas en España, tabla 39363"
29069,2021-08-01,34618,5.98,5787,"INE, Viviendas turísticas en España, tabla 39363"
29070,2021-08-01,16854,5.51,3059,"INE, Viviendas turísticas en España, tabla 39363"
29082,2021-08-01,2671,5.36,498,"INE, Viviendas turísticas en España, tabla 39363"
29084,2021-08-01,2150,4.78,450,"INE, Viviendas turísticas en España, tabla 39363"
29094,2021-08-01,3911,5.3,738,"INE, Viviendas turísticas en España, tabla 39363"
29901,2021-08-01,8121,4.26,1905,"INE, Viviendas turísticas en España, tabla 39363"
30003,2021-08-01,1725,5.24,329,"INE, Viviendas turísticas en España, tabla 39363"
30005,2021-08-01,56,7.0,8,"INE, Viviendas turísticas en España, tabla 39363"
30015,2021-08-01,228,5.7,40,"INE, Viviendas turísticas en España, tabla 39363"
30016,2021-08-01,7297,5.43,1345,"INE, Viviendas turísticas en España, tabla 39363"
30019,2021-08-01,26,8.67,3,"INE, Viviendas turísticas en España, tabla 39363"
30022,2021-08-01,116,8.29,14,"INE, Viviendas turísticas en España, tabla 39363"
30024,2021-08-01,341,5.59,61,"INE, Viviendas turísticas en España, tabla 39363"
30026,2021-08-01,2695,5.44,495,"INE, Viviendas turísticas en España, tabla 39363"
30027,2021-08-01,159,3.7,43,"INE, Viviendas turísticas en España, tabla 39363"
30030,2021-08-01,3447,4.32,797,"INE, Viviendas turísticas en España, tabla 39363"
30035,2021-08-01,5022,5.32,944,"INE, Viviendas turísticas en España, tabla 39363"
30037,2021-08-01,2381,4.89,487,"INE, Viviendas turísticas en España, tabla 39363"
30039,2021-08-01,71,6.45,11,"INE, Viviendas turísticas en España, tabla 39363"
30043,2021-08-01,115,5.75,20,"INE, Viviendas turísticas en España, tabla 39363"
31201,2021-08-01,1581,3.98,397,"INE, Viviendas turísticas en España, tabla 39363"
31232,2021-08-01,336,5.6,60,"INE, Viviendas turísticas en España, tabla 39363"
32054,2021-08-01,867,4.49,193,"INE, Viviendas turísticas en España, tabla 39363"
33004,2021-08-01,384,4.47,86,"INE, Viviendas turísticas en España, tabla 39363"
33024,2021-08-01,4193,4.43,946,"INE, Viviendas turísticas en España, tabla 39363"
33031,2021-08-01,81,5.06,16,"INE, Viviendas turísticas en España, tabla 39363"
33037,2021-08-01,112,4.87,23,"INE, Viviendas turísticas en España, tabla 39363"
33044,2021-08-01,2212,4.08,542,"INE, Viviendas turísticas en España, tabla 39363"
33066,2021-08-01,299,5.98,50,"INE, Viviendas turísticas en España, tabla 39363"
34120,2021-08-01,125,4.31,29,"INE, Viviendas turísticas en España, tabla 39363"
35002,2021-08-01,971,4.47,217,"INE, Viviendas turísticas en España, tabla 39363"
35004,2021-08-01,1530,3.8,403,"INE, Viviendas turísticas en España, tabla 39363"
35006,2021-08-01,534,4.94,108,"INE, Viviendas turísticas en España, tabla 39363"
35011,2021-08-01,424,5.05,84,"INE, Viviendas turísticas en España, tabla 39363"
35014,2021-08-01,12558,4.35,2886,"INE, Viviendas turísticas en España, tabla 39363"
35016,2021-08-01,7671,3.54,2170,"INE, Viviendas turísticas en España, tabla 39363"
35017,2021-08-01,1511,4.28,353,"INE, Viviendas turísticas en España, tabla 39363"
35019,2021-08-01,13171,4.21,3127,"INE, Viviendas turísticas en España, tabla 39363"
35022,2021-08-01,1290,3.97,325,"INE, Viviendas turísticas en España, tabla 39363"
35026,2021-08-01,1484,4.3,345,"INE, Viviendas turísticas en España, tabla 39363"
36008,2021-08-01,1452,5.17,281,"INE, Viviendas turísticas en España, tabla 39363"
36026,2021-08-01,642,5.84,110,"INE, Viviendas turísticas en España, tabla 39363"
36038,2021-08-01,1437,4.71,305,"INE, Viviendas turísticas en España, tabla 39363"
36045,2021-08-01,383,5.63,68,"INE, Viviendas turísticas en España, tabla 39363"
36057,2021-08-01,3282,4.13,795,"INE, Viviendas turísticas en España, tabla 39363"
36060,2021-08-01,1178,5.35,220,"INE, Viviendas turísticas en España, tabla 39363"
37274,2021-08-01,2689,3.7,726,"INE, Viviendas turísticas en España, tabla 39363"
38001,2021-08-01,16242,4.81,3378,"INE, Viviendas turísticas en España, tabla 39363"
38006,2021-08-01,13781,4.03,3420,"INE, Viviendas turísticas en España, tabla 39363"
38011,2021-08-01,917,4.13,222,"INE, Viviendas turísticas en España, tabla 39363"
38017,2021-08-01,4115,4.26,967,"INE, Viviendas turísticas en España, tabla 39363"
38023,2021-08-01,2083,3.57,583,"INE, Viviendas turísticas en España, tabla 39363"
38026,2021-08-01,1231,4.61,267,"INE, Viviendas turísticas en España, tabla 39363"
38028,2021-08-01,2932,3.46,847,"INE, Viviendas turísticas en España, tabla 39363"
38031,2021-08-01,797,3.61,221,"INE, Viviendas turísticas en España, tabla 39363"
38038,2021-08-01,2815,3.69,763,"INE, Viviendas turísticas en España, tabla 39363"
39016,2021-08-01,355,4.67,76,"INE, Viviendas turísticas en España, tabla 39363"
39020,2021-08-01,1014,4.57,222,"INE, Viviendas turísticas en España, tabla 39363"
39075,2021-08-01,4472,4.23,1056,"INE, Viviendas turísticas en España, tabla 39363"
39087,2021-08-01,357,4.2,85,"INE, Viviendas turísticas en España, tabla 39363"
40194,2021-08-01,550,4.74,116,"INE, Viviendas turísticas en España, tabla 39363"
41004,2021-08-01,260,5.91,44,"INE, Viviendas turísticas en España, tabla 39363"
41021,2021-08-01,66,4.13,16,"INE, Viviendas turísticas en España, tabla 39363"
41024,2021-08-01,268,5.96,45,"INE, Viviendas turísticas en España, tabla 39363"
41034,2021-08-01,47,6.71,7,"INE, Viviendas turísticas en España, tabla 39363"
41038,2021-08-01,261,4.28,61,"INE, Viviendas turísticas en España, tabla 39363"
41039,2021-08-01,69,3.63,19,"INE, Viviendas turísticas en España, tabla 39363"
41053,2021-08-01,22,2.75,8,"INE, Viviendas turísticas en España, tabla 39363"
41059,2021-08-01,254,3.79,67,"INE, Viviendas turísticas en España, tabla 39363"
41065,2021-08-01,106,7.07,15,"INE, Viviendas turísticas en España, tabla 39363"
41069,2021-08-01,81,6.75,12,"INE, Viviendas turísticas en España, tabla 39363"
41081,2021-08-01,52,5.2,10,"INE, Viviendas turísticas en España, tabla 39363"
41091,2021-08-01,19123,4.13,4634,"INE, Viviendas turísticas en España, tabla 39363"
41095,2021-08-01,120,6.0,20,"INE, Viviendas turísticas en España, tabla 39363"
42173,2021-08-01,477,4.5,106,"INE, Viviendas turísticas en España, tabla 39363"
43038,2021-08-01,7711,5.77,1336,"INE, Viviendas turísticas en España, tabla 39363"
43123,2021-08-01,613,5.62,109,"INE, Viviendas turísticas en España, tabla 39363"
43148,2021-08-01,2802,4.66,601,"INE, Viviendas turísticas en España, tabla 39363"
43155,2021-08-01,325,5.42,60,"INE, Viviendas turísticas en España, tabla 39363"
43163,2021-08-01,2467,6.58,375,"INE, Viviendas turísticas en España, tabla 39363"
43905,2021-08-01,13105,5.45,2405,"INE, Viviendas turísticas en España, tabla 39363"
44216,2021-08-01,689,5.89,117,"INE, Viviendas turísticas en España, tabla 39363"
45081,2021-08-01,52,3.06,17,"INE, Viviendas turísticas en España, tabla 39363"
45165,2021-08-01,121,4.48,27,"INE, Viviendas turísticas en España, tabla 39363"
45168,2021-08-01,2289,4.72,485,"INE, Viviendas turísticas en España, tabla 39363"
46005,2021-08-01,12,2.4,5,"INE, Viviendas turísticas en España, tabla 39363"
46017,2021-08-01,142,5.68,25,"INE, Viviendas turísticas en España, tabla 39363"
46021,2021-08-01,1,1.0,1,"INE, Viviendas turísticas en España, tabla 39363"
46029,2021-08-01,20,4.0,5,"INE, Viviendas turísticas en España, tabla 39363"
46078,2021-08-01,256,3.41,75,"INE, Viviendas turísticas en España, tabla 39363"
46094,2021-08-01,40,2.86,14,"INE, Viviendas turísticas en España, tabla 39363"
46102,2021-08-01,23,2.88,8,"INE, Viviendas turísticas en España, tabla 39363"
46110,2021-08-01,69,3.14,22,"INE, Viviendas turísticas en España, tabla 39363"
46131,2021-08-01,5633,5.56,1013,"INE, Viviendas turísticas en España, tabla 39363"
46145,2021-08-01,269,5.27,51,"INE, Viviendas turísticas en España, tabla 39363"
46159,2021-08-01,61,3.81,16,"INE, Viviendas turísticas en España, tabla 39363"
46169,2021-08-01,132,3.14,42,"INE, Viviendas turísticas en España, tabla 39363"
46181,2021-08-01,4138,5.42,763,"INE, Viviendas turísticas en España, tabla 39363"
46184,2021-08-01,130,5.42,24,"INE, Viviendas turísticas en España, tabla 39363"
46190,2021-08-01,321,4.22,76,"INE, Viviendas turísticas en España, tabla 39363"
46220,2021-08-01,1916,5.34,359,"INE, Viviendas turísticas en España, tabla 39363"
46235,2021-08-01,842,5.93,142,"INE, Viviendas turísticas en España, tabla 39363"
46244,2021-08-01,214,4.2,51,"INE, Viviendas turísticas en España, tabla 39363"
46250,2021-08-01,21814,3.88,5616,"INE, Viviendas turísticas en España, tabla 39363"
47186,2021-08-01,903,3.38,267,"INE, Viviendas turísticas en España, tabla 39363"
48013,2021-08-01,142,2.9,49,"INE, Viviendas turísticas en España, tabla 39363"
48015,2021-08-01,19,2.71,7,"INE, Viviendas turísticas en España, tabla 39363"
48020,2021-08-01,3081,3.38,911,"INE, Viviendas turísticas en España, tabla 39363"
48027,2021-08-01,31,3.1,10,"INE, Viviendas turísticas en España, tabla 39363"
48036,2021-08-01,4,2.0,2,"INE, Viviendas turísticas en España, tabla 39363"
48044,2021-08-01,443,4.1,108,"INE, Viviendas turísticas en España, tabla 39363"
48054,2021-08-01,53,3.79,14,"INE, Viviendas turísticas en España, tabla 39363"
48078,2021-08-01,102,4.25,24,"INE, Viviendas turísticas en España, tabla 39363"
48082,2021-08-01,57,4.38,13,"INE, Viviendas turísticas en España, tabla 39363"
48084,2021-08-01,29,3.22,9,"INE, Viviendas turísticas en España, tabla 39363"
49275,2021-08-01,762,4.7,162,"INE, Viviendas turísticas en España, tabla 39363"
50297,2021-08-01,2444,3.82,639,"INE, Viviendas turísticas en España, tabla 39363"
51001,2021-08-01,211,3.77,56,"INE, Viviendas turísticas en España, tabla 39363"
52001,2021-08-01,163,3.54,46,"INE, Viviendas turísticas en España, tabla 39363"
01059,2022-02-01,428,3.32,129,"INE, Viviendas turísticas en España, tabla 39363"
02003,2022-02-01,543,4.08,133,"INE, Viviendas turísticas en España, tabla 39363"
02009,2022-02-01,36,4.5,8,"INE, Viviendas turísticas en España, tabla 39363"
02037,2022-02-01,24,4.0,6,"INE, Viviendas turísticas en España, tabla 39363"
02081,2022-02-01,51,6.38,8,"INE, Viviendas turísticas en España, tabla 39363"
03009,2022-02-01,262,3.36,78,"INE, Viviendas turísticas en España, tabla 39363"
03014,2022-02-01,13155,4.3,3060,"INE, Viviendas turísticas en España, tabla 39363"
03031,2022-02-01,11803,4.8,2461,"INE, Viviendas turísticas en España, tabla 39363"
03047,2022-02-01,15179,5.63,2698,"INE, Viviendas turísticas en España, tabla 39363"
03050,2022-02-01,5596,5.69,983,"INE, Viviendas turísticas en España, tabla 39363"
03059,2022-02-01,192,6.62,29,"INE, Viviendas turísticas en España, tabla 39363"
03063,2022-02-01,15742,5.22,3015,"INE, Viviendas turísticas en España, tabla 39363"
03065,2022-02-01,3227,4.79,673,"INE, Viviendas turísticas en España, tabla 39363"
03066,2022-02-01,90,3.21,28,"INE, Viviendas turísticas en España, tabla 39363"
03082,2022-02-01,16286,6.25,2606,"INE, Viviendas turísticas en España, tabla 39363"
03093,2022-02-01,75,6.25,12,"INE, Viviendas turísticas en España, tabla 39363"
03099,2022-02-01,12097,5.35,2263,"INE, Viviendas turísticas en España, tabla 39363"
03104,2022-02-01,102,4.64,22,"INE, Viviendas turísticas en España, tabla 39363"
03121,2022-02-01,6067,5.34,1136,"INE, Viviendas turísticas en España, tabla 39363"
03122,2022-02-01,374,5.12,73,"INE, Viviendas turísticas en España, tabla 39363"
03133,2022-02-01,16100,4.74,3397,"INE, Viviendas turísticas en España, tabla 39363"
03139,2022-02-01,3510,4.58,766,"INE, Viviendas turísticas en España, tabla 39363"
03140,2022-02-01,145,5.0,29,"INE, Viviendas turísticas en España, tabla 39363"
04013,2022-02-01,2371,4.29,553,"INE, Viviendas turísticas en España, tabla 39363"
04066,2022-02-01,3511,4.98,705,"INE, Viviendas turísticas en España, tabla 39363"
04079,2022-02-01,2827,4.54,623,"INE, Viviendas turísticas en España, tabla 39363"
04902,2022-02-01,505,4.63,109,"INE, Viviendas turísticas en España, tabla 39363"
05019,2022-02-01,642,4.86,132,"INE, Viviendas turísticas en España, tabla 39363"
06011,2022-02-01,6,3.0,2,"INE, Viviendas turísticas en España, tabla 39363"
06015,2022-02-01,117,3.9,30,"INE, Viviendas turísticas en España, tabla 39363"
06044,2022-02-01,17,3.4,5,"INE, Viviendas turísticas en España, tabla 39363"
06083,2022-02-01,643,4.4,146,"INE, Viviendas turísticas en España, tabla 39363"
06153,2022-02-01,24,3.0,8,"INE, Viviendas turísticas en España, tabla 39363"
07011,2022-02-01,3656,6.27,583,"INE, Viviendas turísticas en España, tabla 39363"
07015,2022-02-01,6847,5.59,1225,"INE, Viviendas turísticas en España, tabla 39363"
07026,2022-02-01,2389,4.41,542,"INE, Viviendas turísticas en España, tabla 39363"
07027,2022-02-01,1795,6.39,281,"INE, Viviendas turísticas en España, tabla 39363"
07031,2022-02-01,4090,6.44,635,"INE, Viviendas turísticas en España, tabla 39363"
07032,2022-02-01,1057,6.22,170,"INE, Viviendas turísticas en España, tabla 39363"
07033,2022-02-01,5962,6.38,935,"INE, Viviendas turísticas en España, tabla 39363"
07036,2022-02-01,871,7.2,121,"INE, Viviendas turísticas en España, tabla 39363"
07040,2022-02-01,6417,4.31,1490,"INE, Viviendas turísticas en España, tabla 39363"
07054,2022-02-01,7183,7.39,972,"INE, Viviendas turísticas en España, tabla 39363"
08015,2022-02-01,684,3.51,195,"INE, Viviendas turísticas en España, tabla 39363"
08019,2022-02-01,46722,3.92,11918,"INE, Viviendas turísticas en España, tabla 39363"
08056,2022-02-01,1219,4.51,270,"INE, Viviendas turísticas en España, tabla 39363"
08073,2022-02-01,285,3.65,78,"INE, Viviendas turísticas en España, tabla 39363"
08077,2022-02-01,147,2.77,53,"INE, Viviendas turísticas en España, tabla 39363"
08089,2022-02-01,345,5.0,69,"INE, Viviendas turísticas en España, tabla 39363"
08096,2022-02-01,42,2.8,15,"INE, Viviendas turísticas en España, tabla 39363"
08101,2022-02-01,2749,3.68,747,"INE, Viviendas turísticas en España, tabla 39363"
08102,2022-02-01,49,3.5,14,"INE, Viviendas turísticas en España, tabla 39363"
08113,2022-02-01,272,3.44,79,"INE, Viviendas turísticas en España, tabla 39363"
08114,2022-02-01,17,2.43,7,"INE, Viviendas turísticas en España, tabla 39363"
08121,2022-02-01,534,4.56,117,"INE, Viviendas turísticas en España, tabla 39363"
08124,2022-02-01,26,5.2,5,"INE, Viviendas turísticas en España, tabla 39363"
08125,2022-02-01,34,3.4,10,"INE, Viviendas turísticas en España, tabla 39363"
08163,2022-02-01,1069,5.19,206,"INE, Viviendas turísticas en España, tabla 39363"
08169,2022-02-01,149,2.44,61,"INE, Viviendas turísticas en España, tabla 39363"
08172,2022-02-01,213,4.53,47,"INE, Viviendas turísticas en España, tabla 39363"
08180,2022-02-01,16,2.29,7,"INE, Viviendas turísticas en España, tabla 39363"
08184,2022-02-01,179,3.51,51,"INE, Viviendas turísticas en España, tabla 39363"
08187,2022-02-01,249,3.19,78,"INE, Viviendas turísticas en España, tabla 39363"
08194,2022-02-01,747,5.22,143,"INE, Viviendas turísticas en España, tabla 39363"
08196,2022-02-01,8,2.0,4,"INE, Viviendas turísticas en España, tabla 39363"
08200,2022-02-01,58,3.41,17,"INE, Viviendas turísticas en España, tabla 39363"
08205,2022-02-01,394,3.79,104,"INE, Viviendas turísticas en España, tabla 39363"
08211,2022-02-01,34,3.4,10,"INE, Viviendas turísticas en España, tabla 39363"
08217,2022-02-01,27,2.45,11,"INE, Viviendas turísticas en España, tabla 39363"
08231,2022-02-01,1224,7.33,167,"INE, Viviendas turísticas en España, tabla 39363"
08245,2022-02-01,99,2.36,42,"INE, Viviendas turísticas en España, tabla 39363"
08252,2022-02-01,58,5.27,11,"INE, Viviendas turísticas en España, tabla 39363"
08260,2022-02-01,17,3.4,5,"INE, Viviendas turísticas en España, tabla 39363"
08263,2022-02-01,13,4.33,3,"INE, Viviendas turísticas en España, tabla 39363"
08266,2022-02-01,110,3.14,35,"INE, Viviendas turísticas en España, tabla 39363"
08270,2022-02-01,5623,5.03,1118,"INE, Viviendas turísticas en España, tabla 39363"
08279,2022-02-01,328,3.09,106,"INE, Viviendas turísticas en España, tabla 39363"
08298,2022-02-01,165,4.02,41,"INE, Viviendas turísticas en España, tabla 39363"
08301,2022-02-01,111,4.63,24,"INE, Viviendas turísticas en España, tabla 39363"
08305,2022-02-01,63,3.15,20,"INE, Viviendas turísticas en España, tabla 39363"
08307,2022-02-01,882,4.93,179,"INE, Viviendas turísticas en España, tabla 39363"
09018,2022-02-01,132,4.26,31,"INE, Viviendas turísticas en España, tabla 39363"
09059,2022-02-01,997,4.41,226,"INE, Viviendas turísticas en España, tabla 39363"
09219,2022-02-01,4,4.0,1,"INE, Viviendas turísticas en España, tabla 39363"
10037,2022-02-01,970,4.2,231,"INE, Viviendas turísticas en España, tabla 39363"
10148,2022-02-01,220,4.15,53,"INE, Viviendas turísticas en España, tabla 39363"
11004,2022-02-01,401,4.31,93,"INE, Viviendas turísticas en España, tabla 39363"
11006,2022-02-01,837,5.54,151,"INE, Viviendas turísticas en España, tabla 39363"
11012,2022-02-01,5549,4.29,1294,"INE, Viviendas turísticas en España, tabla 39363"
11015,2022-02-01,6916,5.85,1183,"INE, Viviendas turísticas en España, tabla 39363"
11020,2022-02-01,2762,4.34,637,"INE, Viviendas turísticas en España, tabla 39363"
11022,2022-02-01,146,3.74,39,"INE, Viviendas turísticas en España, tabla 39363"
11027,2022-02-01,3651,5.54,659,"INE, Viviendas turísticas en España, tabla 39363"
11028,2022-02-01,230,4.42,52,"INE, Viviendas turísticas en España, tabla 39363"
11030,2022-02-01,1872,5.21,359,"INE, Viviendas turísticas en España, tabla 39363"
11031,2022-02-01,286,4.21,68,"INE, Viviendas turísticas en España, tabla 39363"
11032,2022-02-01,2219,5.18,428,"INE, Viviendas turísticas en España, tabla 39363"
11033,2022-02-01,2495,6.58,379,"INE, Viviendas turísticas en España, tabla 39363"
12009,2022-02-01,85,4.47,19,"INE, Viviendas turísticas en España, tabla 39363"
12027,2022-02-01,805,4.94,163,"INE, Viviendas turísticas en España, tabla 39363"
12032,2022-02-01,301,5.57,54,"INE, Viviendas turísticas en España, tabla 39363"
12040,2022-02-01,1248,3.95,316,"INE, Viviendas turísticas en España, tabla 39363"
12084,2022-02-01,27,4.5,6,"INE, Viviendas turísticas en España, tabla 39363"
12126,2022-02-01,77,5.92,13,"INE, Viviendas turísticas en España, tabla 39363"
12135,2022-02-01,51,3.64,14,"INE, Viviendas turísticas en España, tabla 39363"
12138,2022-02-01,1917,5.56,345,"INE, Viviendas turísticas en España, tabla 39363"
13005,2022-02-01,107,5.35,20,"INE, Viviendas turísticas en España, tabla 39363"
13034,2022-02-01,209,3.54,59,"INE, Viviendas turísticas en España, tabla 39363"
13071,2022-02-01,25,3.57,7,"INE, Viviendas turísticas en España, tabla 39363"
13082,2022-02-01,125,6.58,19,"INE, Viviendas turísticas en España, tabla 39363"
13087,2022-02-01,71,4.73,15,"INE, Viviendas turísticas en España, tabla 39363"
14021,2022-02-01,5618,4.76,1180,"INE, Viviendas turísticas en España, tabla 39363"
14038,2022-02-01,115,5.23,22,"INE, Viviendas turísticas en España, tabla 39363"
14056,2022-02-01,104,6.93,15,"INE, Viviendas turísticas en España, tabla 39363"
15002,2022-02-01,478,4.88,98,"INE, Viviendas turísticas en España, tabla 39363"
15005,2022-02-01,134,4.96,27,"INE, Viviendas turísticas en España, tabla 39363"
15019,2022-02-01,460,6.05,76,"INE, Viviendas turísticas en España, tabla 39363"
15030,2022-02-01,2307,4.19,551,"INE, Viviendas turísticas en España, tabla 39363"
15031,2022-02-01,104,3.71,28,"INE, Viviendas turísticas en España, tabla 39363"
15036,2022-02-01,671,4.69,143,"INE, Viviendas turísticas en España, tabla 39363"
15054,2022-02-01,78,6.5,12,"INE, Viviendas turísticas en España, tabla 39363"
15058,2022-02-01,652,4.69,139,"INE, Viviendas turísticas en España, tabla 39363"
15073,2022-02-01,1078,5.31,203,"INE, Viviendas turísticas en España, tabla 39363"
15078,2022-02-01,2678,4.47,599,"INE, Viviendas turísticas en España, tabla 39363"
16078,2022-02-01,1290,4.96,260,"INE, Viviendas turísticas en España, tabla 39363"
17023,2022-02-01,2913,5.87,496,"INE, Viviendas turísticas en España, tabla 39363"
17066,2022-02-01,602,4.6,131,"INE, Viviendas turísticas en España, tabla 39363"
17079,2022-02-01,1766,4.25,416,"INE, Viviendas turísticas en España, tabla 39363"
17095,2022-02-01,11047,6.3,1754,"INE, Viviendas turísticas en España, tabla 39363"
17114,2022-02-01,459,4.94,93,"INE, Viviendas turísticas en España, tabla 39363"
17155,2022-02-01,32,3.2,10,"INE, Viviendas turísticas en España, tabla 39363"
18017,2022-02-01,5557,5.37,1035,"INE, Viviendas turísticas en España, tabla 39363"
18087,2022-02-01,9605,4.42,2175,"INE, Viviendas turísticas en España, tabla 39363"
18140,2022-02-01,932,5.45,171,"INE, Viviendas turísticas en España, tabla 39363"
19046,2022-02-01,17,1.89,9,"INE, Viviendas turísticas en España, tabla 39363"
19130,2022-02-01,182,5.06,36,"INE, Viviendas turísticas en España, tabla 39363"
20030,2022-02-01,25,3.13,8,"INE, Viviendas turísticas en España, tabla 39363"
20045,2022-02-01,186,3.96,47,"INE, Viviendas turísticas en España, tabla 39363"
20067,2022-02-01,54,3.18,17,"INE, Viviendas turísticas en España, tabla 39363"
20069,2022-02-01,5166,4.23,1221,"INE, Viviendas turísticas en España, tabla 39363"
21041,2022-02-01,285,3.31,86,"INE, Viviendas turísticas en España, tabla 39363"
21044,2022-02-01,858,5.61,153,"INE, Viviendas turísticas en España, tabla 39363"
22125,2022-02-01,108,4.15,26,"INE, Viviendas turísticas en España, tabla 39363"
23005,2022-02-01,78,4.33,18,"INE, Viviendas turísticas en España, tabla 39363"
23050,2022-02-01,283,4.16,68,"INE, Viviendas turísticas en España, tabla 39363"
23055,2022-02-01,71,3.74,19,"INE, Viviendas turísticas en España, tabla 39363"
23092,2022-02-01,384,4.57,84,"INE, Viviendas turísticas en España, tabla 39363"
24089,2022-02-01,1691,4.66,363,"INE, Viviendas turísticas en España, tabla 39363"
24115,2022-02-01,481,4.58,105,"INE, Viviendas turísticas en España, tabla 39363"
24142,2022-02-01,95,8.64,11,"INE, Viviendas turísticas en España, tabla 39363"
25120,2022-02-01,275,4.58,60,"INE, Viviendas turísticas en España, tabla 39363"
26089,2022-02-01,1995,5.39,370,"INE, Viviendas turísticas en España, tabla 39363"
27028,2022-02-01,815,4.79,170,"INE, Viviendas turísticas en España, tabla 39363"
28005,2022-02-01,615,3.55,173,"INE, Viviendas turísticas en España, tabla 39363"
28006,2022-02-01,254,3.06,83,"INE, Viviendas turísticas en España, tabla 39363"
28007,2022-02-01,108,2.16,50,"INE, Viviendas turísticas en España, tabla 39363"
28013,2022-02-01,324,4.56,71,"INE, Viviendas turísticas en España, tabla 39363"
28014,2022-02-01,27,2.25,12,"INE, Viviendas turísticas en España, tabla 39363"
28022,2022-02-01,107,4.86,22,"INE, Viviendas turísticas en España, tabla 39363"
28045,2022-02-01,45,4.09,11,"INE, Viviendas turísticas en España, tabla 39363"
28047,2022-02-01,87,3.63,24,"INE, Viviendas turísticas en España, tabla 39363"
28049,2022-02-01,97,3.03,32,"INE, Viviendas turísticas en España, tabla 39363"
28058,2022-02-01,31,1.72,18,"INE, Viviendas turísticas en España, tabla 39363"
28061,2022-02-01,127,3.74,34,"INE, Viviendas turísticas en España, tabla 39363"
28065,2022-02-01,171,2.06,83,"INE, Viviendas turísticas en España, tabla 39363"
28074,2022-02-01,110,2.12,52,"INE, Viviendas turísticas en España, tabla 39363"
28079,2022-02-01,43649,3.44,12691,"INE, Viviendas turísticas en España, tabla 39363"
28080,2022-02-01,117,3.44,34,"INE, Viviendas turísticas en España, tabla 39363"
28092,2022-02-01,136,2.52,54,"INE, Viviendas turísticas en España, tabla 39363"
28096,2022-02-01,50,5.0,10,"INE, Viviendas turísticas en España, tabla 39363"
28106,2022-02-01,51,1.89,27,"INE, Viviendas turísticas en España, tabla 39363"
28113,2022-02-01,69,3.14,22,"INE, Viviendas turísticas en España, tabla 39363"
28115,2022-02-01,194,2.43,80,"INE, Viviendas turísticas en España, tabla 39363"
28123,2022-02-01,139,2.96,47,"INE, Viviendas turísticas en España, tabla 39363"
28127,2022-02-01,181,3.69,49,"INE, Viviendas turísticas en España, tabla 39363"
28130,2022-02-01,41,2.73,15,"INE, Viviendas turísticas en España, tabla 39363"
28134,2022-02-01,241,3.21,75,"INE, Viviendas turísticas en España, tabla 39363"
28148,2022-02-01,86,2.0,43,"INE, Viviendas turísticas en España, tabla 39363"
28161,2022-02-01,40,2.11,19,"INE, Viviendas turísticas en España, tabla 39363"
28181,2022-02-01,154,3.28,47,"INE, Viviendas turísticas en España, tabla 39363"
28903,2022-02-01,27,1.59,17,"INE, Viviendas turísticas en España, tabla 39363"
29007,2022-02-01,1381,7.19,192,"INE, Viviendas turísticas en España, tabla 39363"
29015,2022-02-01,588,5.71,103,"INE, Viviendas turísticas en España, tabla 39363"
29025,2022-02-01,13212,4.76,2775,"INE, Viviendas turísticas en España, tabla 39363"
29051,2022-02-01,12353,5.29,2336,"INE, Viviendas turísticas en España, tabla 39363"
29054,2022-02-01,8343,4.82,1730,"INE, Viviendas turísticas en España, tabla 39363"
29067,2022-02-01,21904,4.36,5029,"INE, Viviendas turísticas en España, tabla 39363"
