cod_ine,fecha,plazas,plazas_por_vivienda,viviendas_turisticas,fuente
08260,2021-02-01,22,3.67,6,"INE, Viviendas turísticas en España, tabla 39363"
08263,2021-02-01,29,2.64,11,"INE, Viviendas turísticas en España, tabla 39363"
08266,2021-02-01,154,4.05,38,"INE, Viviendas turísticas en España, tabla 39363"
08270,2021-02-01,6287,5.07,1239,"INE, Viviendas turísticas en España, tabla 39363"
08279,2021-02-01,302,3.36,90,"INE, Viviendas turísticas en España, tabla 39363"
08298,2021-02-01,192,4.36,44,"INE, Viviendas turísticas en España, tabla 39363"
08301,2021-02-01,110,4.23,26,"INE, Viviendas turísticas en España, tabla 39363"
08305,2021-02-01,60,3.53,17,"INE, Viviendas turísticas en España, tabla 39363"
08307,2021-02-01,1014,5.02,202,"INE, Viviendas turísticas en España, tabla 39363"
09018,2021-02-01,160,4.1,39,"INE, Viviendas turísticas en España, tabla 39363"
09059,2021-02-01,883,4.35,203,"INE, Viviendas turísticas en España, tabla 39363"
09219,2021-02-01,17,4.25,4,"INE, Viviendas turísticas en España, tabla 39363"
10037,2021-02-01,912,3.98,229,"INE, Viviendas turísticas en España, tabla 39363"
10148,2021-02-01,229,4.49,51,"INE, Viviendas turísticas en España, tabla 39363"
11004,2021-02-01,391,4.03,97,"INE, Viviendas turísticas en España, tabla 39363"
11006,2021-02-01,805,5.37,150,"INE, Viviendas turísticas en España, tabla 39363"
11012,2021-02-01,5657,4.26,1328,"INE, Viviendas turísticas en España, tabla 39363"
11015,2021-02-01,6858,5.83,1177,"INE, Viviendas turísticas en España, tabla 39363"
11020,2021-02-01,2535,4.46,568,"INE, Viviendas turísticas en España, tabla 39363"
11022,2021-02-01,171,4.17,41,"INE, Viviendas turísticas en España, tabla 39363"
11027,2021-02-01,3921,5.48,715,"INE, Viviendas turísticas en España, tabla 39363"
11028,2021-02-01,229,4.24,54,"INE, Viviendas turísticas en España, tabla 39363"
11030,2021-02-01,1814,5.21,348,"INE, Viviendas turísticas en España, tabla 39363"
11031,2021-02-01,228,4.07,56,"INE, Viviendas turísticas en España, tabla 39363"
11032,2021-02-01,2024,5.3,382,"INE, Viviendas turísticas en España, tabla 39363"
11033,2021-02-01,2911,6.77,430,"INE, Viviendas turísticas en España, tabla 39363"
12009,2021-02-01,65,4.33,15,"INE, Viviendas turísticas en España, tabla 39363"
12027,2021-02-01,804,5.29,152,"INE, Viviendas turísticas en España, tabla 39363"
12032,2021-02-01,330,5.16,64,"INE, Viviendas turísticas en España, tabla 39363"
12040,2021-02-01,1176,4.0,294,"INE, Viviendas turísticas en España, tabla 39363"
12084,2021-02-01,29,5.8,5,"INE, Viviendas turísticas en España, tabla 39363"
12126,2021-02-01,71,5.07,14,"INE, Viviendas turísticas en España, tabla 39363"
12135,2021-02-01,84,4.0,21,"INE, Viviendas turísticas en España, tabla 39363"
12138,2021-02-01,1706,5.4,316,"INE, Viviendas turísticas en España, tabla 39363"
13005,2021-02-01,54,4.91,11,"INE, Viviendas turísticas en España, tabla 39363"
13034,2021-02-01,215,3.91,55,"INE, Viviendas turísticas en España, tabla 39363"
13071,2021-02-01,34,3.78,9,"INE, Viviendas turísticas en España, tabla 39363"
13082,2021-02-01,124,6.2,20,"INE, Viviendas turísticas en España, tabla 39363"
13087,2021-02-01,59,4.92,12,"INE, Viviendas turísticas en España, tabla 39363"
14021,2021-02-01,5518,4.67,1182,"INE, Viviendas turísticas en España, tabla 39363"
14038,2021-02-01,76,5.43,14,"INE, Viviendas turísticas en España, tabla 39363"
14056,2021-02-01,99,8.25,12,"INE, Viviendas turísticas en España, tabla 39363"
15002,2021-02-01,453,4.72,96,"INE, Viviendas turísticas en España, tabla 39363"
15005,2021-02-01,171,5.03,34,"INE, Viviendas turísticas en España, tabla 39363"
15019,2021-02-01,470,6.53,72,"INE, Viviendas turísticas en España, tabla 39363"
15030,2021-02-01,1986,4.19,474,"INE, Viviendas turísticas en España, tabla 39363"
15031,2021-02-01,130,4.19,31,"INE, Viviendas turísticas en España, tabla 39363"
15036,2021-02-01,573,4.62,124,"INE, Viviendas turísticas en España, tabla 39363"
15054,2021-02-01,95,5.28,18,"INE, Viviendas turísticas en España, tabla 39363"
15058,2021-02-01,701,4.83,145,"INE, Viviendas turísticas en España, tabla 39363"
15073,2021-02-01,921,5.32,173,"INE, Viviendas turísticas en España, tabla 39363"
15078,2021-02-01,2916,4.43,658,"INE, Viviendas turísticas en España, tabla 39363"
16078,2021-02-01,1211,4.94,245,"INE, Viviendas turísticas en España, tabla 39363"
17023,2021-02-01,3163,5.87,539,"INE, Viviendas turísticas en España, tabla 39363"
17066,2021-02-01,593,4.63,128,"INE, Viviendas turísticas en España, tabla 39363"
17079,2021-02-01,1756,4.28,410,"INE, Viviendas turísticas en España, tabla 39363"
17095,2021-02-01,11844,6.47,1831,"INE, Viviendas turísticas en España, tabla 39363"
17114,2021-02-01,440,4.89,90,"INE, Viviendas turísticas en España, tabla 39363"
17155,2021-02-01,35,2.69,13,"INE, Viviendas turísticas en España, tabla 39363"
18017,2021-02-01,5224,5.37,972,"INE, Viviendas turísticas en España, tabla 39363"
18087,2021-02-01,9378,4.5,2082,"INE, Viviendas turísticas en España, tabla 39363"
18140,2021-02-01,713,5.32,134,"INE, Viviendas turísticas en España, tabla 39363"
19046,2021-02-01,17,1.89,9,"INE, Viviendas turísticas en España, tabla 39363"
19130,2021-02-01,175,5.0,35,"INE, Viviendas turísticas en España, tabla 39363"
20030,2021-02-01,21,3.5,6,"INE, Viviendas turísticas en España, tabla 39363"
20045,2021-02-01,166,3.86,43,"INE, Viviendas turísticas en España, tabla 39363"
