cod_ine,anio,tasa_rotacion,aceleracion_precio,desacoplamiento_precio_renta,percentil_tasa_rotacion,percentil_aceleracion_precio,percentil_desacoplamiento_precio_renta,score_presion_especulativa,metodo,version_metodologia
01059,2022,2.4463300876907543,-0.0422853810596146,-0.0553408651177209,30.491803278688526,17.704918032786885,13.114754098360656,20.437158469945356,media_percentiles_iguales,1.0
02003,2022,2.5955041953936995,-0.0200854058714743,-0.0202391145994635,37.704918032786885,30.491803278688526,41.63934426229508,36.6120218579235,media_percentiles_iguales,1.0
02009,2022,1.8582606078844417,-0.0015558732391947,-0.0516179490589732,6.557377049180328,49.18032786885246,15.40983606557377,23.71584699453552,media_percentiles_iguales,1.0
02037,2022,2.6589040273693056,-0.0954359135097744,-0.0782062365636342,41.31147540983606,1.639344262295082,2.2950819672131146,15.081967213114753,media_percentiles_iguales,1.0
02081,2022,1.3110846245530394,0.0839998584123702,-0.0310490034559676,0.9836065573770492,97.70491803278688,30.16393442622951,42.95081967213114,media_percentiles_iguales,1.0
03009,2022,3.108395324123273,-0.1036190173176593,-0.0624518931436252,70.1639344262295,1.3114754098360655,7.540983606557377,26.33879781420765,media_percentiles_iguales,1.0
03014,2022,4.126655937929638,0.0327020769610642,0.0410385183192374,89.8360655737705,75.73770491803279,96.39344262295081,87.3224043715847,media_percentiles_iguales,1.0
03031,2022,3.839349195588551,-0.0399520577538743,-0.0558995470415797,86.88524590163935,18.688524590163933,12.78688524590164,39.45355191256831,media_percentiles_iguales,1.0
03047,2022,5.249273589233828,-0.0024435547099794,-0.0279191065695201,96.39344262295081,47.540983606557376,32.78688524590164,58.9071038251366,media_percentiles_iguales,1.0
03050,2022,4.0856684452072685,0.0513962480718932,0.0222913360052146,89.18032786885246,89.8360655737705,90.49180327868852,89.8360655737705,media_percentiles_iguales,1.0
03059,2022,2.220485771960669,-0.0604242929179071,-0.0684164840789404,19.672131147540984,11.147540983606557,5.573770491803279,12.131147540983607,media_percentiles_iguales,1.0
03063,2022,4.7660101244556445,0.0378891028971104,0.0079979046070268,93.44262295081967,80.0,79.01639344262296,84.15300546448087,media_percentiles_iguales,1.0
03065,2022,3.1176774638180564,-0.0562309056696086,-0.0497753427099325,70.81967213114754,13.114754098360656,17.37704918032787,33.770491803278695,media_percentiles_iguales,1.0
03066,2022,3.346915017462165,-0.0780067842644667,-0.0628147504805014,77.70491803278688,4.918032786885246,7.213114754098361,29.945355191256827,media_percentiles_iguales,1.0
03082,2022,5.0262873336067715,-0.0098945253270412,-0.0039203508409186,95.73770491803279,40.98360655737705,64.59016393442623,67.10382513661203,media_percentiles_iguales,1.0
03093,2022,2.60522496371553,-0.0753708807571764,-0.1142606522680538,38.68852459016394,5.901639344262295,0.32786885245901637,14.972677595628417,media_percentiles_iguales,1.0
03099,2022,5.913589732001627,-0.0451917418028673,-0.0130947227450133,98.0327868852459,17.049180327868854,48.85245901639344,54.64480874316939,media_percentiles_iguales,1.0
03104,2022,2.5373315527497877,0.0143477723390963,-0.0404536028747002,34.75409836065574,61.31147540983606,23.278688524590162,39.78142076502732,media_percentiles_iguales,1.0
03121,2022,4.982836895138965,0.0610990849123735,0.0302857920641812,95.40983606557377,92.78688524590164,93.77049180327869,93.98907103825137,media_percentiles_iguales,1.0
03122,2022,3.377407830282494,0.0201769527029602,0.0156264235374199,79.34426229508196,65.24590163934427,86.55737704918033,77.04918032786885,media_percentiles_iguales,1.0
03133,2022,6.355103637074697,0.0898938540999712,0.0533153401323818,98.36065573770492,98.0327868852459,98.68852459016394,98.36065573770492,media_percentiles_iguales,1.0
03139,2022,4.169899146625291,-0.0078677591335183,-0.0337112220271094,90.1639344262295,43.60655737704918,28.19672131147541,53.98907103825136,media_percentiles_iguales,1.0
03140,2022,1.9506690311139772,-0.0288581522163908,-0.0569446946311362,9.180327868852459,24.918032786885245,11.80327868852459,15.300546448087433,media_percentiles_iguales,1.0
04013,2022,3.5213011480135106,0.0052793632885697,-0.0109350439342554,81.9672131147541,55.08196721311475,53.77049180327869,63.60655737704917,media_percentiles_iguales,1.0
04066,2022,2.7349545249306586,-0.0769327901273222,-0.1225581606782382,44.59016393442623,5.245901639344262,0.0,16.612021857923498,media_percentiles_iguales,1.0
04079,2022,4.606596942880128,-0.030127366315112,0.0142588745254914,93.11475409836065,23.934426229508198,84.91803278688525,67.3224043715847,media_percentiles_iguales,1.0
04902,2022,3.801169590643275,-0.1151172974221387,-0.0541027793159533,86.22950819672131,0.6557377049180327,14.426229508196721,33.770491803278695,media_percentiles_iguales,1.0
05019,2022,2.626065493786413,-0.0352137821958966,-0.0244110439389022,40.32786885245902,20.983606557377048,36.0655737704918,32.459016393442624,media_percentiles_iguales,1.0
06011,2022,3.093916261855193,-0.0659572004156325,-0.0508293590697008,68.52459016393442,7.868852459016393,16.065573770491802,30.81967213114754,media_percentiles_iguales,1.0
06015,2022,2.856798133898169,-0.0098123222426915,-0.0129004087021085,52.78688524590164,41.31147540983606,49.50819672131148,47.86885245901639,media_percentiles_iguales,1.0
06044,2022,2.4503809613394787,0.0343933390937829,0.004170090093031,30.81967213114754,77.70491803278688,74.75409836065573,61.09289617486339,media_percentiles_iguales,1.0
06083,2022,2.681931245615154,0.0033064003863536,-0.0241483379643601,42.622950819672134,52.459016393442624,36.39344262295082,43.82513661202186,media_percentiles_iguales,1.0
06153,2022,1.731478853250071,0.0699333631568752,-0.0191130242061154,3.9344262295081966,95.08196721311475,42.295081967213115,47.103825136612016,media_percentiles_iguales,1.0
07011,2022,4.779129672256933,0.0648009889817289,-0.0077139619936255,93.77049180327869,93.77049180327869,58.032786885245905,81.85792349726776,media_percentiles_iguales,1.0
07015,2022,4.0476323586962595,0.0986671006495689,0.0626512182764487,88.85245901639344,99.01639344262296,99.34426229508196,95.73770491803278,media_percentiles_iguales,1.0
