cod_ine,anio,poblacion,fuente
02037,1998,25978,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,1999,26205,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2000,26581,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2001,27609,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2002,28123,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2003,28890,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2004,29303,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2005,29847,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2006,30024,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2007,30366,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2008,31054,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2009,30976,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2010,31109,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2011,31199,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2012,31262,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2013,31029,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2014,30862,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2015,30592,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2016,30419,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2017,30184,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2018,30268,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2019,30306,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2020,30200,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2021,30427,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2022,30492,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2023,30516,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2024,30812,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,2025,30836,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,1996,22165,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,1998,22178,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,1999,22197,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2000,22276,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2001,22936,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2002,23416,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2003,24074,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2004,24373,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2005,24729,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2006,25485,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2007,25417,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2008,26311,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2009,26642,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2010,26686,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2011,26485,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2012,26583,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2013,26513,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2014,26419,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2015,25989,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2016,25589,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2017,25317,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2018,25241,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2019,25184,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2020,25116,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2021,24978,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2022,24886,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2023,25189,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2024,25262,"INE, Padrón municipal, tablas provinciales 2854–2909"
02081,2025,25400,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,1996,60921,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,1998,60476,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,1999,60476,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2000,60423,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2001,60288,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2002,60465,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2003,60036,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2004,60532,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2005,60931,"INE, Padrón municipal, tablas provinciales 2854–2909"
