componente,variable,anio,archivo,fuente,comparabilidad,cambios_metodologicos,primer_anio,ultimo_anio,frecuencia,municipios_validos,observaciones,cobertura_pct,anios_ausentes
asequibilidad,ratio_asequibilidad,2018,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,284,284,92.81045751633987,[]
asequibilidad,ratio_asequibilidad,2019,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,284,284,92.81045751633987,[]
asequibilidad,ratio_asequibilidad,2020,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,306,306,100.0,[]
asequibilidad,ratio_asequibilidad,2021,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,306,306,100.0,[]
asequibilidad,ratio_asequibilidad,2022,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,306,306,100.0,[]
asequibilidad,ratio_asequibilidad,2023,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,306,306,100.0,[]
asequibilidad,ratio_asequibilidad,2024,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2025,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2026,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
turismo,vut_por_1000_hab,1996,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
