cod_ine,anio,ipr_score,ipr_percentile,rank,delta_ipr,delta_since_start,rank_change,calculation_version,dataset_sha256
39087,2020,32.86445012787724,17.753623188405797,228,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
39087,2021,34.31372549019608,22.463768115942027,215,1.4492753623188364,1.4492753623188364,-13.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
39087,2022,27.099317988064794,15.217391304347826,235,-7.214407502131284,-5.765132139812447,20.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
39087,2023,38.736146632566076,28.6231884057971,198,11.636828644501282,5.871696504688835,-37.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
40194,2020,47.01619778346121,39.130434782608695,169,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
40194,2021,41.08056265984655,33.333333333333336,185,-5.935635123614659,-5.935635123614659,16.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
40194,2022,57.07587382779199,62.31884057971015,105,15.995311167945438,10.059676044330779,-80.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
40194,2023,51.0230179028133,51.44927536231884,135,-6.052855924978687,4.006820119352092,30.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41004,2020,51.790281329923275,55.072463768115945,125,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41004,2021,33.50383631713555,21.3768115942029,218,-18.286445012787723,-18.286445012787723,93.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41004,2022,48.33759590792839,46.73913043478261,148,14.833759590792837,-3.452685421994886,-70.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41004,2023,42.52983802216539,36.594202898550726,176,-5.807757885762996,-9.260443307757882,28.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41021,2020,61.828644501278774,74.27536231884058,72,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41021,2021,68.89386189258312,82.97101449275362,48,7.065217391304344,7.065217391304344,-24.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41021,2022,54.092071611253196,59.42028985507246,113,-14.801790281329922,-7.7365728900255775,65.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41021,2023,70.60954816709292,84.42028985507247,44,16.51747655583973,8.78090366581415,-69.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41024,2020,57.52344416027281,63.768115942028984,101,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41024,2021,40.06820119352089,30.797101449275363,192,-17.455242966751918,-17.455242966751918,91.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41024,2022,37.70247229326513,25.0,208,-2.3657289002557604,-19.820971867007678,16.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41024,2023,33.43989769820972,18.47826086956522,226,-4.262574595055412,-24.08354646206309,18.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41034,2020,38.40579710144928,25.72463768115942,206,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41034,2021,32.2463768115942,19.565217391304348,223,-6.159420289855078,-6.159420289855078,17.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41034,2022,49.47783461210572,50.36231884057971,138,17.231457800511514,11.072037510656436,-85.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41034,2023,31.159420289855074,17.028985507246375,230,-18.318414322250643,-7.246376811594207,92.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41038,2020,49.23273657289002,47.46376811594203,146,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41038,2021,57.56606990622336,62.68115942028985,104,8.333333333333343,8.333333333333343,-42.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41038,2022,48.40153452685422,47.10144927536232,147,-9.164535379369141,-0.8312020460357985,43.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41038,2023,62.574595055413475,73.55072463768116,74,14.173060528559255,13.341858482523456,-73.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41039,2020,50.42625745950554,50.36231884057971,138,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41039,2021,29.30520034100597,15.579710144927537,234,-21.12105711849957,-21.12105711849957,96.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41039,2022,38.57630008525149,27.17391304347826,202,9.271099744245518,-11.849957374254053,-32.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41039,2023,18.350383631713555,7.246376811594203,257,-20.225916453537934,-32.07587382779199,55.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41059,2020,71.37681159420289,87.68115942028986,35,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41059,2021,71.97357203751066,86.59420289855072,38,0.5967604433077724,0.5967604433077724,3.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41059,2022,58.56777493606138,65.57971014492753,96,-13.40579710144928,-12.809036658141508,58.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41059,2023,39.32225063938619,29.71014492753623,195,-19.245524296675192,-32.0545609548167,99.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41065,2020,41.44288150042626,30.07246376811594,194,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41065,2021,28.037084398976983,13.768115942028986,239,-13.405797101449277,-13.405797101449277,45.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41065,2022,22.719522591645354,10.507246376811594,248,-5.317561807331629,-18.723358908780906,9.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41065,2023,20.05541346973572,9.420289855072463,251,-2.664109121909636,-21.387468030690542,3.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41069,2020,49.46717817561807,48.55072463768116,143,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41069,2021,29.28388746803069,15.217391304347826,235,-20.183290707587382,-20.183290707587382,92.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41069,2022,38.29923273657289,26.08695652173913,205,9.015345268542198,-11.167945439045184,-30.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41069,2023,26.38533674339301,13.768115942028986,239,-11.913895993179878,-23.081841432225062,34.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41081,2020,33.951406649616374,18.840579710144926,225,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41081,2021,35.272804774083546,23.91304347826087,211,1.3213981244671729,1.3213981244671729,-14.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41081,2022,44.73572037510657,40.57971014492754,165,9.46291560102302,10.784313725490193,-46.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41081,2023,55.392156862745104,60.14492753623188,111,10.656436487638537,21.44075021312873,-54.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41091,2020,86.34910485933504,99.6376811594203,2,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41091,2021,75.36231884057972,90.57971014492753,27,-10.986786018755325,-10.986786018755325,25.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41091,2022,74.70161977834613,87.68115942028986,35,-0.66069906223359,-11.647485080988915,8.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
