cod_ine,anio,indice_gini,ratio_p80_p20
03140,2020,29.2,2.4
03140,2021,28.5,2.4
03140,2022,28.3,2.4
03140,2023,27.7,2.3
04013,2015,37.8,3.6
04013,2016,37.9,3.7
04013,2017,37.0,3.4
04013,2018,36.2,3.5
04013,2019,35.5,3.3
04013,2020,35.2,3.4
04013,2021,34.2,3.2
04013,2022,34.1,3.1
04013,2023,33.5,3.0
04066,2015,35.5,3.2
04066,2016,34.2,3.0
04066,2017,32.6,2.7
04066,2018,32.5,2.7
04066,2019,31.2,2.5
04066,2020,30.5,2.5
04066,2021,29.9,2.5
04066,2022,29.9,2.3
04066,2023,29.4,2.5
04079,2015,38.8,4.1
04079,2016,38.4,3.5
04079,2017,36.9,3.2
04079,2018,36.1,3.4
04079,2019,34.8,3.1
04079,2020,34.5,2.9
04079,2021,34.2,3.0
04079,2022,34.0,2.8
04079,2023,33.0,2.8
04902,2015,36.4,3.5
04902,2016,35.4,3.0
04902,2017,34.2,2.8
04902,2018,33.1,2.9
04902,2019,31.5,2.7
04902,2020,30.6,2.5
04902,2021,30.8,2.5
04902,2022,30.8,2.6
04902,2023,30.5,2.4
05019,2015,34.2,3.0
05019,2016,34.2,3.1
05019,2017,32.3,2.8
05019,2018,31.9,2.8
05019,2019,31.3,2.9
05019,2020,31.6,2.7
05019,2021,30.4,2.6
05019,2022,30.5,2.7
05019,2023,30.1,2.7
06011,2015,36.7,3.3
06011,2016,35.6,3.3
06011,2017,33.8,3.0
06011,2018,33.4,2.8
06011,2019,32.2,2.6
06011,2020,31.9,2.6
06011,2021,30.9,2.6
06011,2022,30.4,2.4
06011,2023,30.1,2.6
06015,2015,35.4,3.1
06015,2016,35.2,3.2
06015,2017,34.2,3.2
06015,2018,33.9,3.0
06015,2019,33.2,2.8
06015,2020,33.1,2.9
06015,2021,32.3,2.8
06015,2022,31.8,2.9
06015,2023,31.3,2.7
06044,2015,33.4,2.9
06044,2016,33.0,2.7
06044,2017,31.8,2.5
06044,2018,31.8,2.6
06044,2019,30.7,2.5
06044,2020,31.0,2.5
06044,2021,30.3,2.4
06044,2022,30.2,2.6
06044,2023,29.6,2.4
06083,2015,34.4,3.2
06083,2016,34.1,2.9
06083,2017,33.3,3.0
06083,2018,32.6,2.8
06083,2019,31.8,2.7
06083,2020,32.4,2.9
06083,2021,31.3,2.8
06083,2022,30.7,2.8
06083,2023,30.2,2.7
06153,2015,32.5,2.8
06153,2016,32.5,2.8
06153,2017,31.1,2.5
06153,2018,30.9,2.6
06153,2019,29.9,2.5
06153,2020,29.9,2.6
06153,2021,28.9,2.4
06153,2022,28.7,2.3
