cod_ine,anio,edad_media,pct_hogares_unipersonales,pct_mayor_65,pct_menor_18,pct_poblacion_espanola,tamano_medio_hogar
03063,2020,43.5,31.3,19.0,16.5,77.5,2.5
03063,2021,44.1,31.8,20.0,15.9,76.3,2.5
03063,2022,44.3,31.7,20.5,15.7,73.4,2.5
03063,2023,44.4,31.5,20.6,15.4,71.7,2.5
03065,2015,40.3,23.6,15.6,19.2,90.5,2.7
03065,2016,40.7,23.2,16.0,19.3,90.6,2.7
03065,2017,40.9,23.9,16.4,19.2,90.1,2.7
03065,2018,41.2,24.3,16.7,19.1,89.5,2.7
03065,2019,41.5,24.4,16.9,18.8,88.8,2.7
03065,2020,41.8,24.9,17.4,18.6,89.1,2.7
03065,2021,42.1,25.4,17.8,18.4,88.7,2.7
03065,2022,42.3,25.7,18.1,18.3,87.8,2.7
03065,2023,42.4,25.8,18.5,18.0,86.8,2.7
03066,2015,42.9,26.3,19.4,16.8,95.7,2.5
03066,2016,43.1,26.1,19.8,16.9,95.8,2.5
03066,2017,43.4,26.7,20.2,16.9,95.6,2.5
03066,2018,43.6,27.1,20.6,16.8,94.9,2.5
03066,2019,43.9,27.4,20.9,16.7,94.2,2.5
03066,2020,44.1,27.6,21.4,16.6,94.1,2.5
03066,2021,44.4,27.7,21.9,16.5,94.0,2.5
03066,2022,44.4,27.7,21.9,16.6,92.6,2.5
03066,2023,44.4,28.1,22.1,16.8,91.1,2.5
03082,2015,44.6,31.5,23.6,16.4,57.1,2.4
03082,2016,43.9,28.7,22.3,17.1,58.1,2.5
03082,2017,44.3,31.4,22.9,16.7,58.1,2.5
03082,2018,44.6,31.0,23.2,16.6,57.2,2.5
03082,2019,44.5,30.2,22.6,16.6,56.3,2.5
03082,2020,44.6,30.5,22.4,16.3,57.0,2.5
03082,2021,45.2,31.0,23.2,15.8,56.0,2.4
03082,2022,45.3,30.7,23.7,16.1,53.4,2.5
03082,2023,45.0,30.6,23.2,16.3,53.2,2.5
03093,2015,40.9,24.0,16.9,18.7,92.4,2.7
03093,2016,41.4,23.8,17.2,18.3,92.9,2.7
03093,2017,41.7,24.7,17.5,18.0,93.0,2.6
03093,2018,42.1,25.2,17.6,17.7,92.6,2.6
03093,2019,42.5,25.9,18.0,17.5,92.1,2.6
03093,2020,42.8,26.5,18.3,17.2,92.2,2.6
03093,2021,43.1,26.7,18.5,16.9,92.2,2.6
03093,2022,43.3,27.4,18.8,16.8,91.5,2.6
03093,2023,43.4,27.3,19.1,16.5,90.6,2.5
03099,2015,43.5,29.1,22.2,17.3,65.2,2.5
03099,2016,43.5,26.7,22.0,17.5,68.9,2.5
03099,2017,43.6,29.2,22.1,17.4,68.3,2.5
03099,2018,44.2,29.1,22.8,17.1,67.8,2.5
03099,2019,44.3,28.9,22.7,16.9,67.0,2.5
03099,2020,44.7,29.3,23.0,16.6,66.6,2.5
03099,2021,44.9,30.9,23.1,16.5,65.5,2.4
03099,2022,44.8,30.6,23.0,16.7,64.2,2.4
03099,2023,44.7,29.2,22.8,16.7,63.9,2.5
03104,2015,40.1,21.3,14.3,19.8,97.6,2.7
03104,2016,40.5,21.4,14.8,19.9,97.6,2.7
03104,2017,40.8,21.9,15.1,19.6,97.4,2.6
03104,2018,41.3,22.4,15.6,19.2,97.4,2.6
03104,2019,41.7,22.6,16.1,18.9,97.0,2.6
03104,2020,42.1,23.0,16.6,18.4,97.2,2.6
03104,2021,42.6,23.6,17.2,17.9,97.2,2.6
03104,2022,43.0,24.4,17.9,17.5,96.7,2.5
03104,2023,43.4,25.0,18.7,17.1,96.1,2.5
03121,2015,41.2,34.3,17.3,18.2,83.8,2.4
03121,2016,41.1,32.6,16.7,18.7,85.1,2.4
03121,2017,41.3,34.1,16.9,18.6,83.9,2.4
03121,2018,41.9,34.3,17.5,18.1,82.9,2.4
03121,2019,42.2,34.6,17.7,18.1,81.6,2.4
03121,2020,42.6,34.4,18.0,17.6,81.5,2.4
03121,2021,43.4,34.5,19.0,16.7,78.8,2.3
03121,2022,43.6,34.2,19.2,16.6,77.1,2.4
03121,2023,43.7,34.4,19.3,16.5,77.0,2.3
03122,2015,38.7,21.9,13.3,20.8,94.3,2.7
03122,2016,39.0,22.0,13.6,20.8,94.4,2.7
03122,2017,39.3,22.0,14.0,20.6,93.9,2.7
03122,2018,39.7,22.0,14.3,20.2,93.6,2.8
03122,2019,40.1,22.1,14.7,19.9,93.0,2.8
03122,2020,40.5,22.7,15.1,19.4,93.1,2.7
03122,2021,40.9,22.8,15.4,19.1,93.1,2.7
03122,2022,41.2,23.1,15.9,18.5,92.5,2.7
03122,2023,41.6,23.5,16.4,18.0,92.1,2.7
03133,2015,43.3,36.1,21.4,16.3,60.0,2.3
03133,2016,43.5,34.2,21.8,16.8,60.8,2.4
03133,2017,43.8,35.7,22.1,16.8,61.2,2.3
03133,2018,44.1,35.7,22.5,16.5,60.2,2.3
03133,2019,44.2,35.5,22.6,16.6,58.6,2.3
03133,2020,44.6,36.2,22.9,16.3,59.5,2.3
03133,2021,44.9,36.8,23.0,16.0,59.4,2.3
03133,2022,44.5,36.0,22.6,16.6,55.4,2.3
03133,2023,44.1,34.9,21.9,16.8,52.5,2.4
03139,2015,41.2,33.3,16.3,17.8,81.1,2.4
03139,2016,41.4,31.6,16.5,17.9,81.9,2.4
03139,2017,41.7,32.9,16.9,17.7,81.3,2.4
03139,2018,41.9,32.9,17.0,17.5,80.3,2.4
03139,2019,42.3,32.5,17.5,17.3,79.4,2.4
03139,2020,42.7,32.6,18.1,17.0,80.5,2.4
03139,2021,43.1,33.1,18.4,16.9,80.6,2.4
03139,2022,43.1,32.7,18.6,16.9,78.0,2.4
03139,2023,43.3,33.3,18.8,16.5,76.4,2.4
03140,2015,41.0,24.5,16.8,18.9,94.0,2.6
03140,2016,41.3,24.7,17.1,18.9,94.2,2.6
03140,2017,41.6,24.9,17.5,18.8,94.0,2.6
03140,2018,42.0,25.2,17.9,18.6,93.3,2.6
03140,2019,42.2,25.4,18.2,18.4,92.7,2.6
03140,2020,42.6,26.2,18.6,18.3,92.6,2.6
03140,2021,42.8,26.3,18.9,18.0,92.5,2.6
03140,2022,43.0,26.5,19.3,17.8,92.0,2.5
03140,2023,43.3,27.0,19.9,17.7,91.1,2.5
04013,2015,39.8,27.5,15.3,19.9,90.4,2.7
04013,2016,40.1,27.2,15.6,19.9,90.5,2.7
04013,2017,40.3,27.6,15.9,19.8,90.0,2.7
04013,2018,40.6,27.9,16.2,19.7,89.3,2.7
04013,2019,40.8,27.9,16.4,19.5,88.4,2.7
04013,2020,41.1,28.1,16.8,19.3,88.6,2.7
04013,2021,41.4,28.7,17.1,19.3,89.0,2.6
04013,2022,41.5,29.1,17.5,19.1,89.0,2.6
04013,2023,41.9,29.1,18.0,18.7,88.9,2.6
04066,2015,35.8,30.3,10.0,22.1,59.6,2.8
04066,2016,35.8,28.6,9.9,22.9,58.6,2.8
04066,2017,35.7,30.9,9.8,22.9,56.2,2.8
04066,2018,35.8,30.6,10.0,22.9,54.9,2.8
04066,2019,36.0,30.5,10.1,22.6,53.1,2.8
04066,2020,36.4,30.5,10.4,22.6,53.5,2.8
04066,2021,36.5,31.6,10.6,22.9,52.8,2.8
04066,2022,36.4,31.1,10.6,23.0,54.7,2.9
04066,2023,36.7,31.1,10.9,23.0,54.7,2.9
04079,2015,35.6,27.7,8.4,22.3,72.9,2.7
04079,2016,35.8,26.0,8.5,22.5,73.3,2.8
04079,2017,36.1,27.4,8.8,22.3,73.2,2.8
04079,2018,36.4,27.5,9.2,22.2,72.7,2.8
04079,2019,36.8,27.3,9.6,22.0,72.4,2.7
04079,2020,37.3,27.8,10.0,21.8,73.1,2.7
04079,2021,37.5,27.6,10.2,21.4,71.3,2.7
04079,2022,37.8,27.5,10.6,21.1,70.8,2.7
04079,2023,38.2,27.2,11.1,20.8,70.6,2.7
04902,2015,35.6,23.4,8.9,22.3,66.1,3.0
04902,2016,35.8,23.6,9.0,22.5,67.0,3.0
04902,2017,36.1,24.6,9.4,22.8,69.1,2.9
04902,2018,36.3,25.0,9.7,23.0,69.4,2.9
04902,2019,36.6,25.1,10.1,23.2,69.5,2.9
04902,2020,36.9,25.1,10.3,23.1,69.4,2.9
04902,2021,37.1,24.8,10.3,22.6,68.1,2.9
