cod_ine,anio,pct_renta_alta_200,pct_renta_baja_60
03140,2019,3.9,25.9
03140,2020,4.4,25.2
03140,2021,4.2,24.8
03140,2022,3.8,25.5
03140,2023,3.3,26.2
04013,2015,10.9,31.1
04013,2016,11.7,30.3
04013,2017,10.4,30.3
04013,2018,9.9,29.1
04013,2019,9.5,29.2
04013,2020,10.3,27.8
04013,2021,9.9,27.1
04013,2022,8.8,28.3
04013,2023,8.2,27.8
04066,2015,2.4,48.0
04066,2016,2.2,47.5
04066,2017,2.0,45.2
04066,2018,2.3,43.0
04066,2019,1.6,46.1
04066,2020,2.1,39.7
04066,2021,2.2,41.1
04066,2022,1.8,45.3
04066,2023,1.8,43.6
04079,2015,7.0,38.1
04079,2016,7.4,37.0
04079,2017,6.9,35.8
04079,2018,6.5,34.7
04079,2019,5.9,33.3
04079,2020,6.6,32.1
04079,2021,6.1,32.6
04079,2022,5.3,34.4
04079,2023,4.9,33.3
04902,2015,3.5,44.1
04902,2016,3.8,41.3
04902,2017,3.8,39.6
04902,2018,3.6,38.6
04902,2019,3.3,37.1
04902,2020,3.7,33.8
04902,2021,3.3,36.6
04902,2022,2.9,38.9
04902,2023,3.0,37.3
05019,2015,14.6,20.7
05019,2016,14.8,20.4
05019,2017,13.4,19.2
05019,2018,12.8,18.5
05019,2019,11.9,18.8
05019,2020,12.9,18.4
05019,2021,12.4,17.7
05019,2022,10.7,18.9
05019,2023,9.4,19.8
06011,2015,5.4,37.7
06011,2016,5.6,35.8
06011,2017,4.7,34.6
06011,2018,4.5,34.1
06011,2019,4.2,33.5
06011,2020,4.3,33.3
06011,2021,4.2,32.1
06011,2022,3.6,32.9
06011,2023,3.4,33.4
06015,2015,12.5,25.2
06015,2016,13.1,24.7
06015,2017,11.5,24.4
06015,2018,11.0,24.2
06015,2019,10.4,24.2
06015,2020,10.6,23.9
06015,2021,10.2,23.0
06015,2022,8.8,24.0
06015,2023,8.0,23.7
06044,2015,7.7,27.8
06044,2016,8.6,25.9
06044,2017,7.5,25.5
06044,2018,7.2,25.8
06044,2019,6.8,24.8
06044,2020,7.0,24.7
06044,2021,7.0,23.8
