cod_ine,anio_externo,alquiler_mediano_mensual,estado,unidad,uso
17066,2022,470.0,observado,EUR/mes,external_validation
17079,2022,620.0,observado,EUR/mes,external_validation
17095,2022,470.5,observado,EUR/mes,external_validation
17114,2022,466.4,observado,EUR/mes,external_validation
17155,2022,481.7,observado,EUR/mes,external_validation
18017,2022,450.0,observado,EUR/mes,external_validation
18087,2022,515.2,observado,EUR/mes,external_validation
18140,2022,419.4,observado,EUR/mes,external_validation
19046,2022,500.0,observado,EUR/mes,external_validation
19130,2022,525.0,observado,EUR/mes,external_validation
20030,2022,551.5,observado,EUR/mes,external_validation
20045,2022,681.2,observado,EUR/mes,external_validation
20067,2022,656.4,observado,EUR/mes,external_validation
20069,2022,902.5,observado,EUR/mes,external_validation
21041,2022,458.3,observado,EUR/mes,external_validation
21044,2022,369.8,observado,EUR/mes,external_validation
22125,2022,459.3,observado,EUR/mes,external_validation
23005,2022,329.8,observado,EUR/mes,external_validation
23050,2022,450.0,observado,EUR/mes,external_validation
23055,2022,350.0,observado,EUR/mes,external_validation
23092,2022,354.1,observado,EUR/mes,external_validation
24089,2022,450.0,observado,EUR/mes,external_validation
24115,2022,370.5,observado,EUR/mes,external_validation
24142,2022,390.0,observado,EUR/mes,external_validation
25120,2022,470.0,observado,EUR/mes,external_validation
26089,2022,472.2,observado,EUR/mes,external_validation
27028,2022,370.0,observado,EUR/mes,external_validation
28005,2022,634.2,observado,EUR/mes,external_validation
28006,2022,767.3,observado,EUR/mes,external_validation
28007,2022,680.0,observado,EUR/mes,external_validation
28013,2022,500.0,observado,EUR/mes,external_validation
28014,2022,590.4,observado,EUR/mes,external_validation
28022,2022,1153.4,observado,EUR/mes,external_validation
28045,2022,650.0,observado,EUR/mes,external_validation
28047,2022,625.0,observado,EUR/mes,external_validation
28049,2022,675.0,observado,EUR/mes,external_validation
28058,2022,625.0,observado,EUR/mes,external_validation
28061,2022,580.0,observado,EUR/mes,external_validation
28065,2022,650.0,observado,EUR/mes,external_validation
28074,2022,625.0,observado,EUR/mes,external_validation
28079,2022,800.0,observado,EUR/mes,external_validation
28080,2022,1015.5,observado,EUR/mes,external_validation
28092,2022,650.0,observado,EUR/mes,external_validation
28096,2022,600.0,observado,EUR/mes,external_validation
28106,2022,600.0,observado,EUR/mes,external_validation
28113,2022,645.9,observado,EUR/mes,external_validation
28115,2022,1150.0,observado,EUR/mes,external_validation
28123,2022,806.6,observado,EUR/mes,external_validation
28127,2022,900.0,observado,EUR/mes,external_validation
28130,2022,650.0,observado,EUR/mes,external_validation
28134,2022,750.5,observado,EUR/mes,external_validation
28148,2022,650.0,observado,EUR/mes,external_validation
28161,2022,608.3,observado,EUR/mes,external_validation
28181,2022,845.7,observado,EUR/mes,external_validation
28903,2022,884.9,observado,EUR/mes,external_validation
29007,2022,550.0,observado,EUR/mes,external_validation
