cod_ine,nombre,anio,ipr4_nacional_observado,ipr5_prospectivo,cuartil_ipr,anio_externo,alquiler_mediano_mensual,estado,unidad,uso
08096,Granollers,2023,46.383799421407915,43.15139507111063,Q2,2023,663.7,observado,EUR/mes,external_validation
08101,Hospitalet de Llobregat (L'),2023,67.68563162970108,61.20828357398763,Q4,2023,700.0,observado,EUR/mes,external_validation
08102,Igualada,2023,41.70684667309548,40.765389208554986,Q2,2023,509.0,observado,EUR/mes,external_validation
08113,Manresa,2023,42.14079074252652,42.971990011942246,Q2,2023,489.3,observado,EUR/mes,external_validation
08114,Martorell,2023,40.6268081002893,47.69503854087503,Q2,2023,612.5,observado,EUR/mes,external_validation
08121,Mataró,2023,73.14368370298939,65.30127022038867,Q4,2023,646.1,observado,EUR/mes,external_validation
08124,Mollet del Vallès,2023,52.81581485053039,52.54244924546737,Q3,2023,650.0,observado,EUR/mes,external_validation
08125,Montcada i Reixac,2023,36.10414657666345,33.27130604711758,Q1,2023,650.0,observado,EUR/mes,external_validation
08163,Pineda de Mar,2023,65.84378013500483,56.6625773531647,Q4,2023,550.0,observado,EUR/mes,external_validation
08169,Prat de Llobregat (El),2023,60.23143683702989,55.61725111279991,Q3,2023,750.0,observado,EUR/mes,external_validation
08172,Premià de Mar,2023,60.59787849566057,52.50157420475519,Q3,2023,701.9,observado,EUR/mes,external_validation
08180,Ripollet,2023,59.66248794599807,55.779339919661275,Q3,2023,650.0,observado,EUR/mes,external_validation
08184,Rubí,2023,44.243008678881395,42.57344479426772,Q2,2023,663.1,observado,EUR/mes,external_validation
08187,Sabadell,2023,58.80424300867889,53.31142112691348,Q3,2023,675.0,observado,EUR/mes,external_validation
08194,Sant Adrià de Besòs,2023,78.5920925747348,68.54168928455107,Q4,2023,701.9,observado,EUR/mes,external_validation
08196,Sant Andreu de la Barca,2023,31.639344262295086,29.52589295407664,Q1,2023,650.0,observado,EUR/mes,external_validation
08200,Sant Boi de Llobregat,2023,50.80038572806173,47.25317555097166,Q3,2023,700.0,observado,EUR/mes,external_validation
08205,Sant Cugat del Vallès,2023,50.13500482160078,47.28362827054609,Q3,2023,1045.2,observado,EUR/mes,external_validation
