cod_ine,nombre,provincia,adaptecca_id,estado_mapeo
19046,Azuqueca de Henares,Guadalajara,5614,ok
19130,Guadalajara,Guadalajara,164,ok
20030,Eibar,Gipuzkoa,8020,ok
20045,Irun,Gipuzkoa,8037,ok
20067,Errenteria,Gipuzkoa,620,ok
20069,Donostia/San Sebastián,Gipuzkoa,621,ok
21041,Huelva,Huelva,1181,ok
21044,Lepe,Huelva,2298,ok
22125,Huesca,Huesca,1217,ok
23005,Andújar,Jaén,698,ok
23050,Jaén,Jaén,1141,ok
23055,Linares,Jaén,1126,ok
23092,Úbeda,Jaén,308,ok
24089,León,León,3895,ok
24115,Ponferrada,León,3922,ok
24142,San Andrés del Rabanedo,León,3951,ok
25120,Lleida,Lleida,1582,ok
26089,Logroño,"Rioja, La",8195,ok
27028,Lugo,Lugo,1445,ok
28005,Alcalá de Henares,Madrid,425,ok
28006,Alcobendas,Madrid,299,ok
28007,Alcorcón,Madrid,1932,ok
28013,Aranjuez,Madrid,1539,ok
28014,Arganda del Rey,Madrid,7640,ok
28022,Boadilla del Monte,Madrid,7644,ok
28045,Colmenar Viejo,Madrid,7664,ok
28047,Collado Villalba,Madrid,7666,ok
28049,Coslada,Madrid,7670,ok
28058,Fuenlabrada,Madrid,608,ok
28061,Galapagar,Madrid,7675,ok
28065,Getafe,Madrid,7679,ok
28074,Leganés,Madrid,7689,ok
28079,Madrid,Madrid,1105,ok
28080,Majadahonda,Madrid,1106,ok
28092,Móstoles,Madrid,404,ok
28096,Navalcarnero,Madrid,1467,ok
28106,Parla,Madrid,7669,ok
28113,Pinto,Madrid,334,ok
28115,Pozuelo de Alarcón,Madrid,7712,ok
28123,Rivas-Vaciamadrid,Madrid,1470,ok
28127,"Rozas de Madrid, Las",Madrid,7718,ok
28130,San Fernando de Henares,Madrid,7680,ok
28134,San Sebastián de los Reyes,Madrid,1063,ok
28148,Torrejón de Ardoz,Madrid,7723,ok
28161,Valdemoro,Madrid,658,ok
28181,Villaviciosa de Odón,Madrid,1499,ok
28903,Tres Cantos,Madrid,428,ok
29007,Alhaurín de la Torre,Málaga,2420,ok
29015,Antequera,Málaga,389,ok
29025,Benalmádena,Málaga,1199,ok
29051,Estepona,Málaga,771,ok
29054,Fuengirola,Málaga,772,ok
29067,Málaga,Málaga,770,ok
29069,Marbella,Málaga,774,ok
29070,Mijas,Málaga,775,ok
29082,Rincón de la Victoria,Málaga,2491,ok
29084,Ronda,Málaga,1695,ok
29094,Vélez-Málaga,Málaga,776,ok
29901,Torremolinos,Málaga,2514,ok
30003,Águilas,Murcia,661,ok
30005,Alcantarilla,Murcia,7744,ok
30015,Caravaca de la Cruz,Murcia,1502,ok
30016,Cartagena,Murcia,1503,ok
30019,Cieza,Murcia,1504,ok
30022,Jumilla,Murcia,121,ok
30024,Lorca,Murcia,302,ok
30026,Mazarrón,Murcia,1071,ok
30027,Molina de Segura,Murcia,1072,ok
30030,Murcia,Murcia,326,ok
30035,San Javier,Murcia,1919,ok
30037,Torre-Pacheco,Murcia,7769,ok
30039,Totana,Murcia,7773,ok
30043,Yecla,Murcia,662,ok
31201,Pamplona/Iruña,Navarra,7898,ok
31232,Tudela,Navarra,185,ok
32054,Ourense,Ourense,7552,ok
33004,Avilés,Asturias,3188,ok
33024,Gijón,Asturias,881,ok
33031,Langreo,Asturias,3203,ok
33037,Mieres,Asturias,288,ok
33044,Oviedo,Asturias,795,ok
33066,Siero,Asturias,144,ok
34120,Palencia,Palencia,4105,ok
35002,Agüimes,"Palmas, Las",5460,ok
35004,Arrecife,"Palmas, Las",5464,ok
