AREF;CCAANOM;PROVINCIA;CODINE;MUNINENOMBRE;NUM_SUJETOS_PASIVOS;INMUEBLES;SP_U_1I_FIS_NA;SP_U_1I_FIS_EX;SP_U_1I_SOCIEDADES;SP_U_1I_ENTIDADES_SINAL;SP_U_1I_ENTIDADES_SINPJ;SP_U_1I_ENTIDADES_EXT;SP_U_1I_AAPP;SP_U_1I_ENTIDADES_NDEF;SP_U_1I_OTROS;SP_U_5I_FIS_NA;SP_U_5I_FIS_EX;SP_U_5I_SOCIEDADES;SP_U_5I_ENTIDADES_SINAL;SP_U_5I_ENTIDADES_SINPJ;SP_U_5I_ENTIDADES_EXT;SP_U_5I_AAPP;SP_U_5I_ENTIDADES_NDEF;SP_U_5I_OTROS;SP_U_10I_FIS_NA;SP_U_10I_FIS_EX;SP_U_10I_SOCIEDADES;SP_U_10I_ENTIDADES_SINAL;SP_U_10I_ENTIDADES_SINPJ;SP_U_10I_ENTIDADES_EXT;SP_U_10I_AAPP;SP_U_10I_ENTIDADES_NDEF;SP_U_10I_OTROS;SP_U_25I_FIS_NA;SP_U_25I_FIS_EX;SP_U_25I_SOCIEDADES;SP_U_25I_ENTIDADES_SINAL;SP_U_25I_ENTIDADES_SINPJ;SP_U_25I_ENTIDADES_EXT;SP_U_25I_AAPP;SP_U_25I_ENTIDADES_NDEF;SP_U_25I_OTROS;SP_U_100I_FIS_NA;SP_U_100I_FIS_EX;SP_U_100I_SOCIEDADES;SP_U_100I_ENTIDADES_SINAL;SP_U_100I_ENTIDADES_SINPJ;SP_U_100I_ENTIDADES_EXT;SP_U_100I_AAPP;SP_U_100I_ENTIDADES_NDEF;SP_U_100I_OTROS;SP_U_MAS100_FIS_NA;SP_U_MAS100_FIS_EX;SP_U_MAS100_SOCIEDADES;SP_U_MAS100_ENTIDADES_SINAL;SP_U_MAS100_ENTIDADES_SINPJ;SP_U_MAS100_ENTIDADES_EXT;SP_U_MAS100_AAPP;SP_U_MAS100_ENTIDADES_NDEF;SP_U_MAS100_OTROS;I_U_1I_FIS_NA;I_U_1I_FIS_EX;I_U_1I_SOCIEDADES;I_U_1I_ENTIDADES_SINAL;I_U_1I_ENTIDADES_SINPJ;I_U_1I_ENTIDADES_EXT;I_U_1I_AAPP;I_U_1I_ENTIDADES_NDEF;I_U_1I_OTROS;I_U_5I_FIS_NA;I_U_5I_FIS_EX;I_U_5I_SOCIEDADES;I_U_5I_ENTIDADES_SINAL;I_U_5I_ENTIDADES_SINPJ;I_U_5I_ENTIDADES_EXT;I_U_5I_AAPP;I_U_5I_ENTIDADES_NDEF;I_U_5I_OTROS;I_U_10I_FIS_NA;I_U_10I_FIS_EX;I_U_10I_SOCIEDADES;I_U_10I_ENTIDADES_SINAL;I_U_10I_ENTIDADES_SINPJ;I_U_10I_ENTIDADES_EXT;I_U_10I_AAPP;I_U_10I_ENTIDADES_NDEF;I_U_10I_OTROS;I_U_25I_FIS_NA;I_U_25I_FIS_EX;I_U_25I_SOCIEDADES;I_U_25I_ENTIDADES_SINAL;I_U_25I_ENTIDADES_SINPJ;I_U_25I_ENTIDADES_EXT;I_U_25I_AAPP;I_U_25I_ENTIDADES_NDEF;I_U_25I_OTROS;I_U_100I_FIS_NA;I_U_100I_FIS_EX;I_U_100I_SOCIEDADES;I_U_100I_ENTIDADES_SINAL;I_U_100I_ENTIDADES_SINPJ;I_U_100I_ENTIDADES_EXT;I_U_100I_AAPP;I_U_100I_ENTIDADES_NDEF;I_U_100I_OTROS;I_U_MAS100_FIS_NA;I_U_MAS100_FIS_EX;I_U_MAS100_SOCIEDADES;I_U_MAS100_ENTIDADES_SINAL;I_U_MAS100_ENTIDADES_SINPJ;I_U_MAS100_ENTIDADES_EXT;I_U_MAS100_AAPP;I_U_MAS100_ENTIDADES_NDEF;I_U_MAS100_OTROS
2025;Castilla - La Mancha;Ciudad Real;13061;Pedro Muñoz;3487;4314;2776;142;46;6;0;0;0;1;27;453;8;12;0;0;0;1;0;0;6;0;4;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2776;142;46;6;0;0;0;1;27;1004;19;30;0;0;0;5;0;0;45;0;28;0;0;0;0;0;0;20;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0
2025;Castilla - La Mancha;Ciudad Real;13062;Picón;467;513;420;3;1;1;0;0;2;0;4;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;420;3;1;1;0;0;2;0;4;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Castilla - La Mancha;Ciudad Real;13063;Piedrabuena;2326;2580;2067;12;9;2;0;0;0;0;19;214;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2067;12;9;2;0;0;0;0;19;454;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Castilla - La Mancha;Ciudad Real;13064;Poblete;1333;1495;1206;22;27;1;0;0;1;0;3;61;1;6;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1206;22;27;1;0;0;1;0;3;135;2;19;0;0;0;0;0;2;0;0;13;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Castilla - La Mancha;Ciudad Real;13065;Porzuna;2453;2864;2049;15;21;4;0;0;3;0;50;299;1;3;1;0;0;0;0;4;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2049;15;21;4;0;0;3;0;50;658;2;6;2;0;0;0;0;12;0;0;7;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0
2025;Castilla - La Mancha;Ciudad Real;13066;Pozuelo de Calatrava;2170;2589;1869;54;28;3;0;0;1;0;5;189;4;7;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1869;54;28;3;0;0;1;0;5;429;9;15;0;0;0;0;0;0;18;0;9;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Castilla - La Mancha;Ciudad Real;13067;Pozuelos de Calatrava (Los);323;347;287;0;2;1;0;0;0;0;12;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287;0;2;1;0;0;0;0;12;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Castilla - La Mancha;Ciudad Real;13068;Puebla de Don Rodrigo;799;951;655;0;6;1;0;0;2;0;11;122;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;655;0;6;1;0;0;2;0;11;269;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Castilla - La Mancha;Ciudad Real;13069;Puebla del Príncipe;535;605;456;3;0;0;0;0;0;0;14;59;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456;3;0;0;0;0;0;0;14;122;0;4;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Castilla - La Mancha;Ciudad Real;13070;Puerto Lápice;555;598;504;2;5;2;0;0;1;0;6;34;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;504;2;5;2;0;0;1;0;6;72;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
