cod_ine,anio,ipr,dqs,dqs_level,local_moran_i,p_value,p_value_fdr,quadrant,cluster_type,cluster_type_raw,is_significant,is_significant_raw,eligible,exclusion_reason,neighbor_count,neighbors,standardized_ipr,spatial_lag,spatial_lag_ipr,calculation_version,calculated_at
30027,2023,29.701060752169724,,,0.3741146462314264,0.788,0.9453465346534654,LL,NS,NS,False,False,True,,1,['30030'],-1.2161373722310909,-0.3090300001206308,46.83702989392479,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
30030,2023,46.83702989392479,,,0.05999455362760635,0.622,0.874601226993865,LL,NS,NS,False,False,True,,6,"['03099', '30005', '30016', '30027', '30035', '30037']",-0.3090300001206308,-0.19502475920635454,48.99067823850852,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
30035,2023,68.87174541947928,,,-0.024419592671861383,0.994,0.998,HL,NS,NS,False,False,True,,3,"['30016', '30030', '30037']",0.8573967558008103,-0.028611138886708895,52.13436194149792,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
30037,2023,52.97974927675989,,,0.004045746247395283,0.662,0.8826666666666667,HH,NS,NS,False,False,True,,3,"['30016', '30030', '30035']",0.016140172099044125,0.25180772234721316,57.43169398907105,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
30039,2023,10.241080038572807,,,1.32508074207761,0.432,0.874601226993865,LL,NS,NS,False,False,True,,2,"['30024', '30026']",-2.2462683102833743,-0.5925967672603952,41.48023143683703,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
30043,2023,17.492767598842818,,,3.133500688489469,0.004,0.088,LL,NS,LL,False,True,True,,3,"['02009', '03140', '30022']",-1.8623939468466464,-1.6901949859432914,20.74574091931855,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
31201,2023,65.72806171648988,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
31232,2023,37.0106075216972,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
32054,2023,39.90356798457088,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
33004,2023,35.10125361620058,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
33024,2023,60.81967213114755,,,-0.11444911800019801,0.818,0.9453465346534654,HL,NS,NS,False,False,True,,1,['33066'],0.43115328044220896,-0.2666608881987581,47.637415621986506,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
33031,2023,13.519768563162971,,,1.2116379146574119,0.316,0.874601226993865,LL,NS,NS,False,False,True,,3,"['33037', '33044', '33066']",-2.072708092772088,-0.5872368193666643,41.58148505303761,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
33037,2023,18.727097396335584,,,1.5837931227227904,0.234,0.7946268656716418,LL,NS,NS,False,False,True,,2,"['33031', '33044']",-1.7970536296659267,-0.8853520165036978,35.94985535197686,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
33044,2023,58.37994214079074,,,-0.4145127216180835,0.02,0.23157894736842108,HL,NS,HL,False,True,True,,3,"['33031', '33037', '33066']",0.3020040597646922,-1.3788075368789243,26.62809386049502,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
33066,2023,47.637415621986506,,,0.1185273769229244,0.458,0.874601226993865,LL,NS,NS,False,False,True,,3,"['33024', '33031', '33044']",-0.2666608881987581,-0.44651691752172884,44.239794278367086,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
34120,2023,20.20250723240116,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
35002,2023,49.31533269045323,,,0.02708495704664891,0.794,0.9453465346534654,LL,NS,NS,False,False,True,,3,"['35011', '35019', '35022']",-0.17783889453121757,-0.15299596143646454,49.78463516554163,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
35004,2023,51.02217936354871,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
35006,2023,45.30376084860174,,,-0.156960393973603,0.648,0.874601226993865,LH,NS,NS,False,False,True,,1,['35016'],-0.3901949253685563,0.40409830535956714,60.3085824493732,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
35011,2023,36.5284474445516,,,0.03664944056513188,0.95,0.9858490566037735,LL,NS,NS,False,False,True,,2,"['35002', '35026']",-0.8547237428252349,-0.043074490345983284,51.861137897782065,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
35014,2023,70.74252651880424,,,0.010506649117782804,0.998,0.998,HH,NS,NS,False,False,True,,1,['35017'],0.9564281740278376,0.0110354598193,52.88331726133076,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
35016,2023,60.3085824493732,,,-0.06003853608357351,0.836,0.9453465346534654,HL,NS,NS,False,False,True,,2,"['35006', '35026']",0.40409830535956714,-0.14925250576465265,49.85535197685632,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
35017,2023,52.88331726133076,,,0.010506649117782802,0.326,0.874601226993865,HH,NS,NS,False,False,True,,1,['35014'],0.0110354598193,0.9564281740278376,70.74252651880424,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
35019,2023,71.08968177434909,,,-0.36724208422143484,0.598,0.874601226993865,HL,NS,NS,False,False,True,,2,"['35002', '35022']",0.9748051382349154,-0.37845408712514594,45.525554484088715,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
35022,2023,41.735776277724206,,,-0.22970047374027208,0.562,0.874601226993865,LH,NS,NS,False,False,True,,2,"['35002', '35019']",-0.5790692797190743,0.3984831218518489,60.20250723240116,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
35026,2023,54.4069431051109,,,-0.020564999659466836,0.752,0.94,HL,NS,NS,False,False,True,,2,"['35011', '35016']",0.091689913839251,-0.22531271873283387,48.418514946962404,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
36008,2023,49.29604628736741,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
36026,2023,47.43490838958535,,,-0.10227682326870743,0.704,0.9110588235294118,LH,NS,NS,False,False,True,,1,['36038'],-0.27738078398621974,0.37040720431325813,59.67213114754098,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
36038,2023,59.67213114754098,,,-0.10227682326870743,0.8,0.9453465346534654,HL,NS,NS,False,False,True,,1,['36026'],0.37040720431325813,-0.27738078398621974,47.43490838958535,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
